timestamp,date,method,actual_load,forecast_load,charge,discharge,soc_start,soc_end,realized_grid_load,optimized_forecast_grid_load
2017-12-02 00:00:00,2017-12-02,Oracle,418.0,418.0,0.0,1.982378854625665,366.3887497591986,364.299138970541,416.01762114537433,416.01762114537433
2017-12-02 01:00:00,2017-12-02,Oracle,414.0,414.0,2.0176211453744037,0.0,364.299138970541,366.21322245295124,416.0176211453744,416.0176211453744
2017-12-02 02:00:00,2017-12-02,Oracle,412.0,412.0,4.017621145374335,0.0,366.21322245295124,370.02467253146244,416.01762114537433,416.01762114537433
2017-12-02 03:00:00,2017-12-02,Oracle,411.0,411.0,5.017621145374335,0.0,370.02467253146244,374.78480590802843,416.01762114537433,416.01762114537433
2017-12-02 04:00:00,2017-12-02,Oracle,411.0,411.0,5.017621145374335,0.0,374.78480590802843,379.54493928459016,416.01762114537433,416.01762114537433
2017-12-02 05:00:00,2017-12-02,Oracle,409.0,409.0,7.017621145374335,0.0,379.54493928459016,386.2024392572529,416.01762114537433,416.01762114537433
2017-12-02 06:00:00,2017-12-02,Oracle,412.0,412.0,4.017621145374335,0.0,386.2024392572529,390.01388933576413,416.01762114537433,416.01762114537433
2017-12-02 07:00:00,2017-12-02,Oracle,410.0,410.0,6.017621145374335,0.0,390.01388933576413,395.7227060103764,416.01762114537433,416.01762114537433
2017-12-02 08:00:00,2017-12-02,Oracle,409.0,409.0,7.017621145374335,0.0,395.7227060103764,402.3802059830391,416.01762114537433,416.01762114537433
2017-12-02 09:00:00,2017-12-02,Oracle,408.0,408.0,8.017621145374335,0.0,402.3802059830391,409.98638925375235,416.01762114537433,416.01762114537433
2017-12-02 10:00:00,2017-12-02,Oracle,417.0,417.0,0.0,0.9823788546256651,409.98638925375235,408.95087101848367,416.01762114537433,416.01762114537433
2017-12-02 11:00:00,2017-12-02,Oracle,421.0,421.0,0.0,4.982378854625665,408.95087101848367,403.69898256965735,416.01762114537433,416.01762114537433
2017-12-02 12:00:00,2017-12-02,Oracle,418.0,418.0,0.0,1.982378854625665,403.69898256965735,401.609371780999,416.01762114537433,416.01762114537433
2017-12-02 13:00:00,2017-12-02,Oracle,420.0,420.0,0.0,3.982378854625665,401.609371780999,397.41157588556234,416.01762114537433,416.01762114537433
2017-12-02 14:00:00,2017-12-02,Oracle,425.0,425.0,0.0,8.982378854625665,397.41157588556234,387.9433172231784,416.01762114537433,416.01762114537433
2017-12-02 15:00:00,2017-12-02,Oracle,424.0,424.0,0.0,7.982378854625665,387.9433172231784,379.52915111418406,416.01762114537433,416.01762114537433
2017-12-02 16:00:00,2017-12-02,Oracle,426.0,426.0,0.0,9.982378854625665,379.52915111418406,369.0067998984109,416.01762114537433,416.01762114537433
2017-12-02 17:00:00,2017-12-02,Oracle,423.0,423.0,0.0,6.982378854625665,369.0067998984109,361.6467263428058,416.01762114537433,416.01762114537433
2017-12-02 18:00:00,2017-12-02,Oracle,423.0,423.0,0.0,6.982378854625665,361.6467263428058,354.28665278720064,416.01762114537433,416.01762114537433
2017-12-02 19:00:00,2017-12-02,Oracle,419.0,419.0,0.0,2.982378854625665,354.28665278720064,351.1429494451536,416.01762114537433,416.01762114537433
2017-12-02 20:00:00,2017-12-02,Oracle,416.0,416.0,0.0176211453743349,0.0,351.1429494451536,351.1596663314631,416.01762114537433,416.01762114537433
2017-12-02 21:00:00,2017-12-02,Oracle,416.0,416.0,0.0176211453743349,0.0,351.1596663314631,351.1763832177721,416.01762114537433,416.01762114537433
2017-12-02 22:00:00,2017-12-02,Oracle,409.0,409.0,7.017621145374335,0.0,351.1763832177721,357.83388319043485,416.01762114537433,416.01762114537433
2017-12-02 23:00:00,2017-12-02,Oracle,407.0,407.0,9.017621145374335,0.0,357.83388319043485,366.3887497591986,416.01762114537433,416.01762114537433
2017-12-03 00:00:00,2017-12-03,Oracle,407.0,407.0,10.820175438596394,0.0,366.3887497591986,376.6536694797714,417.8201754385964,417.8201754385964
2017-12-03 01:00:00,2017-12-03,Oracle,408.0,408.0,9.820175438596436,0.0,376.6536694797714,385.9699059022937,417.82017543859644,417.82017543859644
2017-12-03 02:00:00,2017-12-03,Oracle,411.0,411.0,6.820175438596436,0.0,385.9699059022937,392.4400924306645,417.82017543859644,417.82017543859644
