timestamp,date,method,actual_load,forecast_load,charge,discharge,soc_start,soc_end,realized_grid_load,optimized_forecast_grid_load
2017-12-02 00:00:00,2017-12-02,Day-week blend (w_week=0.5),418.0,411.0,19.089912280701654,0.0,366.3887497591986,384.49903070114965,437.08991228070164,430.08991228070164
2017-12-02 01:00:00,2017-12-02,Day-week blend (w_week=0.5),414.0,416.5,13.589912280701583,0.0,384.49903070114965,397.3915535038228,427.5899122807016,430.0899122807016
2017-12-02 02:00:00,2017-12-02,Day-week blend (w_week=0.5),412.0,415.0,15.089912280701583,0.0,397.3915535038228,411.70710125357175,427.0899122807016,430.0899122807016
2017-12-02 03:00:00,2017-12-02,Day-week blend (w_week=0.5),411.0,413.0,17.089912280701583,0.0,411.70710125357175,427.9200155994272,428.0899122807016,430.0899122807016
2017-12-02 04:00:00,2017-12-02,Day-week blend (w_week=0.5),411.0,412.0,18.089912280701583,0.0,427.9200155994272,445.08161324332764,429.0899122807016,430.0899122807016
2017-12-02 05:00:00,2017-12-02,Day-week blend (w_week=0.5),409.0,411.5,18.589912280701583,0.0,445.08161324332764,462.7175525362534,427.5899122807016,430.0899122807016
2017-12-02 06:00:00,2017-12-02,Day-week blend (w_week=0.5),412.0,410.5,19.589912280701583,0.0,462.7175525362534,481.3021751272296,431.5899122807016,430.0899122807016
2017-12-02 07:00:00,2017-12-02,Day-week blend (w_week=0.5),410.0,414.0,16.089912280701583,0.0,481.3021751272296,496.56640617502904,426.0899122807016,430.0899122807016
2017-12-02 08:00:00,2017-12-02,Day-week blend (w_week=0.5),409.0,416.5,13.589912280701583,0.0,496.56640617502904,509.45892897770216,422.5899122807016,430.0899122807016
2017-12-02 09:00:00,2017-12-02,Day-week blend (w_week=0.5),408.0,423.0,7.089912280701583,0.0,509.45892897770216,516.185010343047,415.0899122807016,430.0899122807016
2017-12-02 10:00:00,2017-12-02,Day-week blend (w_week=0.5),417.0,434.0,0.0,3.910087719298417,516.185010343047,512.063415995035,413.0899122807016,430.0899122807016
2017-12-02 11:00:00,2017-12-02,Day-week blend (w_week=0.5),421.0,445.5,0.0,15.410087719298417,512.063415995035,495.81975728304405,405.5899122807016,430.0899122807016
2017-12-02 12:00:00,2017-12-02,Day-week blend (w_week=0.5),418.0,448.0,0.0,17.910087719298417,495.81975728304405,476.940867187579,400.0899122807016,430.0899122807016
2017-12-02 13:00:00,2017-12-02,Day-week blend (w_week=0.5),420.0,445.0,0.0,14.910087719298417,476.940867187579,461.22425475228283,405.0899122807016,430.0899122807016
2017-12-02 14:00:00,2017-12-02,Day-week blend (w_week=0.5),425.0,449.0,0.0,18.910087719298417,461.22425475228283,441.2912721034295,406.0899122807016,430.0899122807016
2017-12-02 15:00:00,2017-12-02,Day-week blend (w_week=0.5),424.0,447.5,0.0,17.410087719298417,441.2912721034295,422.9394282846597,406.5899122807016,430.0899122807016
2017-12-02 16:00:00,2017-12-02,Day-week blend (w_week=0.5),426.0,451.5,0.0,21.410087719298417,422.9394282846597,400.3712142523318,404.5899122807016,430.0899122807016
2017-12-02 17:00:00,2017-12-02,Day-week blend (w_week=0.5),423.0,449.0,0.0,18.910087719298417,400.3712142523318,380.438231603478,404.0899122807016,430.0899122807016
2017-12-02 18:00:00,2017-12-02,Day-week blend (w_week=0.5),423.0,442.0,0.0,11.910087719298417,380.438231603478,367.88389682834986,411.0899122807016,430.0899122807016
