timestamp,date,method,actual_load,forecast_load,charge,discharge,soc_start,soc_end,realized_grid_load,optimized_forecast_grid_load
2017-12-02 00:00:00,2017-12-02,Last-week,418.0,413.0,6.105263157894727,0.0,366.3887497591986,372.18071094729646,424.10526315789474,419.10526315789474
2017-12-02 01:00:00,2017-12-02,Last-week,414.0,416.0,3.10526315789474,0.0,372.18071094729646,375.12662224124284,417.10526315789474,419.10526315789474
2017-12-02 02:00:00,2017-12-02,Last-week,412.0,414.0,5.10526315789474,0.0,375.12662224124284,379.96990013129016,417.10526315789474,419.10526315789474
2017-12-02 03:00:00,2017-12-02,Last-week,411.0,414.0,5.10526315789474,0.0,379.96990013129016,384.8131780213387,416.10526315789474,419.10526315789474
2017-12-02 04:00:00,2017-12-02,Last-week,411.0,411.0,8.10526315789474,0.0,384.8131780213387,392.50250580553757,419.10526315789474,419.10526315789474
2017-12-02 05:00:00,2017-12-02,Last-week,409.0,411.0,8.10526315789474,0.0,392.50250580553757,400.19183358973646,417.10526315789474,419.10526315789474
2017-12-02 06:00:00,2017-12-02,Last-week,412.0,411.0,8.10526315789474,0.0,400.19183358973646,407.88116137393536,420.10526315789474,419.10526315789474
2017-12-02 07:00:00,2017-12-02,Last-week,410.0,412.0,7.10526315789474,0.0,407.88116137393536,414.6218058600837,417.10526315789474,419.10526315789474
2017-12-02 08:00:00,2017-12-02,Last-week,409.0,410.0,9.10526315789474,0.0,414.6218058600837,423.25981694233315,418.10526315789474,419.10526315789474
2017-12-02 09:00:00,2017-12-02,Last-week,408.0,412.0,7.10526315789474,0.0,423.25981694233315,430.0004614284816,415.10526315789474,419.10526315789474
2017-12-02 10:00:00,2017-12-02,Last-week,417.0,412.0,7.10526315789474,0.0,430.0004614284816,436.74110591462994,424.10526315789474,419.10526315789474
2017-12-02 11:00:00,2017-12-02,Last-week,421.0,418.0,1.1052631578947398,0.0,436.74110591462994,437.78965061247527,422.10526315789474,419.10526315789474
2017-12-02 12:00:00,2017-12-02,Last-week,418.0,426.0,0.0,6.89473684210526,437.78965061247527,430.52195984963237,411.10526315789474,419.10526315789474
2017-12-02 13:00:00,2017-12-02,Last-week,420.0,425.0,0.0,5.89473684210526,430.52195984963237,424.3083616401791,414.10526315789474,419.10526315789474
2017-12-02 14:00:00,2017-12-02,Last-week,425.0,423.0,0.0,3.89473684210526,424.3083616401791,420.2029485375033,421.10526315789474,419.10526315789474
2017-12-02 15:00:00,2017-12-02,Last-week,424.0,423.0,0.0,3.89473684210526,420.2029485375033,416.0975354348284,420.10526315789474,419.10526315789474
2017-12-02 16:00:00,2017-12-02,Last-week,426.0,426.0,0.0,6.89473684210526,416.0975354348284,408.82984467198503,419.10526315789474,419.10526315789474
2017-12-02 17:00:00,2017-12-02,Last-week,423.0,428.0,0.0,8.89473684210526,408.82984467198503,399.4539688023633,414.10526315789474,419.10526315789474
2017-12-02 18:00:00,2017-12-02,Last-week,423.0,426.0,0.0,6.89473684210526,399.4539688023633,392.18627803951995,416.10526315789474,419.10526315789474
2017-12-02 19:00:00,2017-12-02,Last-week,419.0,426.0,0.0,6.89473684210526,392.18627803951995,384.9185872766766,412.10526315789474,419.10526315789474
2017-12-02 20:00:00,2017-12-02,Last-week,416.0,427.0,0.0,7.89473684210526,384.9185872766766,376.5968039604438,408.10526315789474,419.10526315789474
2017-12-02 21:00:00,2017-12-02,Last-week,416.0,424.0,0.0,4.89473684210526,376.5968039604438,371.43729830437974,411.10526315789474,419.10526315789474
2017-12-02 22:00:00,2017-12-02,Last-week,409.0,421.0,0.0,1.8947368421052602,371.43729830437974,369.4400703084839,407.10526315789474,419.10526315789474
2017-12-02 23:00:00,2017-12-02,Last-week,407.0,422.0,0.0,2.89473684210526,369.4400703084839,366.3887497591986,404.10526315789474,419.10526315789474
2017-12-03 00:00:00,2017-12-03,Last-week,407.0,417.0,3.684444444444416,0.0,366.3887497591986,369.88412066623806,410.6844444444444,420.6844444444444
2017-12-03 01:00:00,2017-12-03,Last-week,408.0,413.0,7.684444444444409,0.0,369.88412066623806,377.1742247654795,415.6844444444444,420.6844444444444
2017-12-03 02:00:00,2017-12-03,Last-week,411.0,415.0,5.684444444444409,0.0,377.1742247654795,382.56696226861993,416.6844444444444,420.6844444444444
2017-12-03 03:00:00,2017-12-03,Last-week,410.0,416.0,4.684444444444409,0.0,382.56696226861993,387.0110164737131,414.6844444444444,420.6844444444444
2017-12-03 04:00:00,2017-12-03,Last-week,413.0,413.0,7.684444444444409,0.0,387.0110164737131,394.3011205729546,420.6844444444444,420.6844444444444
2017-12-03 05:00:00,2017-12-03,Last-week,410.0,413.0,7.684444444444409,0.0,394.3011205729546,401.59122467219606,417.6844444444444,420.6844444444444
