date,method,lambda,alpha,scenario_count,residual_block_count,negative_values_clipped,sampled_indices_sha256,scenario_min_load,scenario_max_load,scenario_expected_peak,scenario_cvar_peak,stage
2017-11-26,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,a4cebfda7b387a30ef6a72c4af89e7ffa8ca5ca3433ffc38009397d05229e7c5,365.6693618798,809.8247892502,439.3771538104,562.8375920442,validation_selection
2017-11-27,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,761cab3b51ec5d5b59e2b85ac206992ba1834ecaff86171c02911d0bcd6d0d0d,376.5106060038,811.0300131194,454.6338816744,565.4160219267,validation_selection
2017-11-28,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,73dce5ed42a33a9d0fefab32153fb3a2c71f7d20ef16399876f2b2293a132cd3,388.8630034607,819.9524877880,476.6066818231,593.1510739707,validation_selection
2017-11-29,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,5136e6e28db8175fbce8e7e9644a66543675d46d72fd099bac0a5a57e1ba38a1,385.2671107685,816.3565950958,465.1720296736,556.8387622093,validation_selection
2017-11-30,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,d09735943278a140cfe26c8789cfbcd017ae57fe6376f10dd185e4af08fcbdd7,391.0983341848,822.1878185120,472.0637422315,620.0292685304,validation_selection
2017-12-01,robust_lambda_0,0.0000000000,0.9000000000,100,30,0,4c61bdbb8c56582fb5f1de2187f17c097b8d1cb2b84218c0c6be27060c528ccb,379.3474180027,810.4369023300,460.2214650632,606.6719926916,validation_selection
2017-11-02,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,d0dbb367106e6d0c4a492dbc468ee77065fea5bf289652ca8335940f4e51bd74,380.1379203663,811.2274046936,457.8897524416,508.9974128359,validation_selection
2017-11-03,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,9bf981bf3ee19680c9836771015db30e0763455415d044ed81920f7e9e153737,378.2862668586,809.3757511859,458.5047201333,536.2102439435,validation_selection
2017-11-04,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,c26be4ca86b4872ac4b8a3e218ff3354a7b508ffd20e878666860e5e859522aa,364.8928841409,806.0221945965,435.6933499633,486.8054507055,validation_selection
2017-11-05,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,21b79d3ef63370cf551a41e769c05d5094b1d4452150e57736e14030071500a6,360.7690309698,807.0000000000,439.7487823627,539.2629778436,validation_selection
2017-11-06,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,ca41ee442837a0fb409e21869518fb371c9537046adb0afc21894d59ebab6e2b,382.8758770907,842.0894843273,461.6633515414,621.1558280620,validation_selection
2017-11-07,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,ee636a47be34d1e0cddd6d008931ec8ca12f9f5fb0c70586754ecd8290662841,382.3236369246,813.4131212518,472.4006504445,558.3629598161,validation_selection
2017-11-08,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,1a4e52def0b92efe9dd3edb73f854f9bc4769fdff44ba12c3c46bd81908e35e9,397.3944968596,828.7250986108,459.6576706616,516.0711276606,validation_selection
2017-11-09,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,b616c864ef4a6fce30af0f19121a010fe8ed3a90aa2907b53234612f8b71f46f,398.3953917278,830.2631094414,477.3368240134,600.1883846994,validation_selection
2017-11-10,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,b7cdbce94cda00a19505661230bdce68dad5822f75494beb156da6e24befbaaa,382.8396147582,813.9290990855,470.7778092592,558.1690288868,validation_selection
2017-11-11,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,879057dd83e8ac775b5dfc8415692acb7a0f7408d3c85c368550ca57cf856300,377.0589330255,811.2639616091,445.1568284710,496.2706707270,validation_selection
2017-11-12,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,a615ce48625555050770956be892a11656ceb58b6cea1ae433c7e1df91623bbb,366.8662190073,811.9339739114,443.2787311453,510.4606519040,validation_selection
2017-11-13,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,fef5285570f1f5d1239740e1c0040d57849192b7cf494ef40fbedbfd61ccc30f,383.7542736018,814.8437579291,463.1836105232,511.4457843033,validation_selection
2017-11-14,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,d3f723ae6ebe4dece7ee0f9c00809a106ff44974da2320e842dc729c1f9e626a,382.4420349933,813.5315193205,473.9855785045,559.3070829721,validation_selection
2017-11-15,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,ff01f1f1b68682257153fb99b6225fb47dbe33620698f31a40b735f293facbbb,387.1057986565,818.1952829837,472.3445051636,533.0907202678,validation_selection
2017-11-16,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,00288f5d019b6a997fbb64313a389364b886ae92f94674ac57c10b666e1681a2,386.4932399123,817.5827242396,473.0844747616,561.5676449558,validation_selection
2017-11-17,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,fe2a72033d3a3cdf73df31943d2821b3d160aff7b8ea8de5cef097c4f8b9827b,380.9718916250,812.0613759523,465.0426380462,512.8605880145,validation_selection
