date,method,solver_success,solver_status,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-20,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-21,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-22,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-23,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-24,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-25,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-26,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-27,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-28,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-29,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-30,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-31,LightGBM deterministic,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-02,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-03,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-04,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-05,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-06,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-07,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-08,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-09,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-10,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-11,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-12,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-13,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-14,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-15,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-16,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-17,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-18,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-19,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-20,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-21,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-22,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-23,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-24,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-25,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-26,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-27,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-28,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-29,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-30,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-31,Oracle,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-02,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-03,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-04,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-05,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-06,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-07,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-08,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-09,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-10,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
