timestamp,date,method,actual_load,forecast_load,charge,discharge,battery_power,soc_start,soc_end,soc,realized_grid_load,scenario_expected_peak,scenario_cvar_peak,solver_status
2017-12-02 00:00:00,2017-12-02,LightGBM robust,418.0000000000,414.5396148353,16.7270066595,0.0000000000,16.7270066595,366.3887497592,382.2573816034,382.2573816034,434.7270066595,442.6851152850,495.8933880532,0: optimal
2017-12-02 01:00:00,2017-12-02,LightGBM robust,414.0000000000,414.1543829276,15.9376586960,0.0000000000,15.9376586960,382.2573816034,397.3771722183,397.3771722183,429.9376586960,442.6851152850,495.8933880532,0: optimal
2017-12-02 02:00:00,2017-12-02,LightGBM robust,412.0000000000,415.6692247488,0.0000000000,183.1943748796,-183.1943748796,397.3771722183,204.2733458349,204.2733458349,228.8056251204,442.6851152850,495.8933880532,0: optimal
2017-12-02 03:00:00,2017-12-02,LightGBM robust,411.0000000000,409.8783026422,20.5023280127,0.0000000000,20.5023280127,204.2733458349,223.7235619917,223.7235619917,431.5023280127,442.6851152850,495.8933880532,0: optimal
2017-12-02 04:00:00,2017-12-02,LightGBM robust,411.0000000000,409.8924440933,23.7340168587,0.0000000000,23.7340168587,223.7235619917,246.2396273812,246.2396273812,434.7340168587,442.6851152850,495.8933880532,0: optimal
2017-12-02 05:00:00,2017-12-02,LightGBM robust,409.0000000000,409.6717491270,22.5693579293,0.0000000000,22.5693579293,246.2396273812,267.6508002964,267.6508002964,431.5693579293,442.6851152850,495.8933880532,0: optimal
2017-12-02 06:00:00,2017-12-02,LightGBM robust,412.0000000000,410.0001640435,21.8379005264,0.0000000000,21.8379005264,267.6508002964,288.3680517903,288.3680517903,433.8379005264,442.6851152850,495.8933880532,0: optimal
2017-12-02 07:00:00,2017-12-02,LightGBM robust,410.0000000000,408.7837836710,22.4736752954,0.0000000000,22.4736752954,288.3680517903,309.6884521889,309.6884521889,432.4736752954,442.6851152850,495.8933880532,0: optimal
2017-12-02 08:00:00,2017-12-02,LightGBM robust,409.0000000000,410.7468041461,20.8797941889,0.0000000000,20.8797941889,309.6884521889,329.4967642026,329.4967642026,429.8797941889,442.6851152850,495.8933880532,0: optimal
2017-12-02 09:00:00,2017-12-02,LightGBM robust,408.0000000000,415.7648466231,13.5162347849,0.0000000000,13.5162347849,329.4967642026,342.3193903956,342.3193903956,421.5162347849,442.6851152850,495.8933880532,0: optimal
2017-12-02 10:00:00,2017-12-02,LightGBM robust,417.0000000000,419.8628284494,5.4848182987,0.0000000000,5.4848182987,342.3193903956,347.5227459085,347.5227459085,422.4848182987,442.6851152850,495.8933880532,0: optimal
2017-12-02 11:00:00,2017-12-02,LightGBM robust,421.0000000000,425.9390253980,0.0000000000,7.9522183684,-7.9522183684,347.5227459085,339.1403717434,339.1403717434,413.0477816316,442.6851152850,495.8933880532,0: optimal
2017-12-02 12:00:00,2017-12-02,LightGBM robust,418.0000000000,427.6438763713,0.0000000000,4.4861168814,-4.4861168814,339.1403717434,334.4115893451,334.4115893451,413.5138831186,442.6851152850,495.8933880532,0: optimal
2017-12-02 13:00:00,2017-12-02,LightGBM robust,420.0000000000,429.7397174993,1.6010888405,0.0000000000,1.6010888405,334.4115893451,335.9305155868,335.9305155868,421.6010888405,442.6851152850,495.8933880532,0: optimal
2017-12-02 14:00:00,2017-12-02,LightGBM robust,425.0000000000,432.4875411924,0.0000000000,3.7858191470,-3.7858191470,335.9305155868,331.9399118154,331.9399118154,421.2141808530,442.6851152850,495.8933880532,0: optimal
2017-12-02 15:00:00,2017-12-02,LightGBM robust,424.0000000000,432.2658400087,0.0000000000,7.9544461070,-7.9544461070,331.9399118154,323.5551894077,323.5551894077,416.0455538930,442.6851152850,495.8933880532,0: optimal
2017-12-02 16:00:00,2017-12-02,LightGBM robust,426.0000000000,433.5523570246,0.0000000000,4.8684357465,-4.8684357465,323.5551894077,318.4234075407,318.4234075407,421.1315642535,442.6851152850,495.8933880532,0: optimal
2017-12-02 17:00:00,2017-12-02,LightGBM robust,423.0000000000,432.7967535860,0.0000000000,3.8522725198,-3.8522725198,318.4234075407,314.3627557639,314.3627557639,419.1477274802,442.6851152850,495.8933880532,0: optimal
2017-12-02 18:00:00,2017-12-02,LightGBM robust,423.0000000000,428.7120635765,0.0000000000,0.4612170536,-0.4612170536,314.3627557639,313.8765903023,313.8765903023,422.5387829464,442.6851152850,495.8933880532,0: optimal
2017-12-02 19:00:00,2017-12-02,LightGBM robust,419.0000000000,425.0084352082,3.0625680092,0.0000000000,3.0625680092,313.8765903023,316.7819974218,316.7819974218,422.0625680092,442.6851152850,495.8933880532,0: optimal
2017-12-02 20:00:00,2017-12-02,LightGBM robust,416.0000000000,424.9529936596,5.9923599119,0.0000000000,5.9923599119,316.7819974218,322.4668491861,322.4668491861,421.9923599119,442.6851152850,495.8933880532,0: optimal
2017-12-02 21:00:00,2017-12-02,LightGBM robust,416.0000000000,419.9689256669,12.8776204951,0.0000000000,12.8776204951,322.4668491861,334.6836326684,334.6836326684,428.8776204951,442.6851152850,495.8933880532,0: optimal
2017-12-02 22:00:00,2017-12-02,LightGBM robust,409.0000000000,418.1298000892,16.1062784377,0.0000000000,16.1062784377,334.6836326684,349.9633900161,349.9633900161,425.1062784377,442.6851152850,495.8933880532,0: optimal
2017-12-02 23:00:00,2017-12-02,LightGBM robust,407.0000000000,414.2032175615,17.3138493920,0.0000000000,17.3138493920,349.9633900161,366.3887497592,366.3887497592,424.3138493920,442.6851152850,495.8933880532,0: optimal
2017-12-03 00:00:00,2017-12-03,LightGBM robust,407.0000000000,416.8239869434,10.3477995537,0.0000000000,10.3477995537,366.3887497592,376.2055343674,376.2055343674,417.3477995537,441.6993607387,528.0992662314,0: optimal
2017-12-03 01:00:00,2017-12-03,LightGBM robust,408.0000000000,415.6359648179,10.3612418081,0.0000000000,10.3612418081,376.2055343674,386.0350714178,386.0350714178,418.3612418081,441.6993607387,528.0992662314,0: optimal
2017-12-03 02:00:00,2017-12-03,LightGBM robust,411.0000000000,417.6152095104,0.0000000000,183.1943748796,-183.1943748796,386.0350714178,192.9312450344,192.9312450344,227.8056251204,441.6993607387,528.0992662314,0: optimal
2017-12-03 03:00:00,2017-12-03,LightGBM robust,410.0000000000,411.1107535937,15.1750420636,0.0000000000,15.1750420636,192.9312450344,207.3275539873,207.3275539873,425.1750420636,441.6993607387,528.0992662314,0: optimal
2017-12-03 04:00:00,2017-12-03,LightGBM robust,413.0000000000,409.7361015415,19.3058477228,0.0000000000,19.3058477228,207.3275539873,225.6426892766,225.6426892766,432.3058477228,441.6993607387,528.0992662314,0: optimal
2017-12-03 05:00:00,2017-12-03,LightGBM robust,410.0000000000,409.5094345106,18.0848776039,0.0000000000,18.0848776039,225.6426892766,242.7995106067,242.7995106067,428.0848776039,441.6993607387,528.0992662314,0: optimal
2017-12-03 06:00:00,2017-12-03,LightGBM robust,411.0000000000,408.3408589479,18.6580358039,0.0000000000,18.6580358039,242.7995106067,260.5000775483,260.5000775483,429.6580358039,441.6993607387,528.0992662314,0: optimal
2017-12-03 07:00:00,2017-12-03,LightGBM robust,410.0000000000,408.5663359828,18.5962879860,0.0000000000,18.5962879860,260.5000775483,278.1420653664,278.1420653664,428.5962879860,441.6993607387,528.0992662314,0: optimal
2017-12-03 08:00:00,2017-12-03,LightGBM robust,409.0000000000,408.0661022549,20.2631995686,0.0000000000,20.2631995686,278.1420653664,297.3654243622,297.3654243622,429.2631995686,441.6993607387,528.0992662314,0: optimal
2017-12-03 09:00:00,2017-12-03,LightGBM robust,411.0000000000,408.4478444594,17.5359404372,0.0000000000,17.5359404372,297.3654243622,314.0014781705,314.0014781705,428.5359404372,441.6993607387,528.0992662314,0: optimal
2017-12-03 10:00:00,2017-12-03,LightGBM robust,413.0000000000,409.7069468921,12.3434033446,0.0000000000,12.3434033446,314.0014781705,325.7114587647,325.7114587647,425.3434033446,441.6993607387,528.0992662314,0: optimal
2017-12-03 11:00:00,2017-12-03,LightGBM robust,414.0000000000,416.1535397267,0.0000000000,1.4640292086,-1.4640292086,325.7114587647,324.1682364780,324.1682364780,412.5359707914,441.6993607387,528.0992662314,0: optimal
