timestamp,date,controller,actual_load,forecast_load,charge,discharge,soc,soc_start,soc_end,realized_grid_load,optimized_forecast_grid_load,battery_size,solver_status
2017-12-02 00:00:00,2017-12-02,LightGBM,418.0000000000,410.9978348470,9.0752601127,0.0000000000,374.9982974536,366.3887497592,374.9982974536,427.0752601127,420.0730949597,Medium,0: optimal
2017-12-02 01:00:00,2017-12-02,LightGBM,414.0000000000,410.2109013232,9.8621936366,0.0000000000,384.3543958388,374.9982974536,384.3543958388,423.8621936366,420.0730949597,Medium,0: optimal
2017-12-02 02:00:00,2017-12-02,LightGBM,412.0000000000,411.5828079102,8.4902870495,0.0000000000,392.4089893583,384.3543958388,392.4089893583,420.4902870495,420.0730949597,Medium,0: optimal
2017-12-02 03:00:00,2017-12-02,LightGBM,411.0000000000,405.9802411158,14.0928538439,0.0000000000,405.7786444219,392.4089893583,405.7786444219,425.0928538439,420.0730949597,Medium,0: optimal
2017-12-02 04:00:00,2017-12-02,LightGBM,411.0000000000,405.8497185993,14.2233763604,0.0000000000,419.2721240169,405.7786444219,419.2721240169,425.2233763604,420.0730949597,Medium,0: optimal
2017-12-02 05:00:00,2017-12-02,LightGBM,409.0000000000,406.1324660205,13.9406289393,0.0000000000,432.4973658559,419.2721240169,432.4973658559,422.9406289393,420.0730949597,Medium,0: optimal
2017-12-02 06:00:00,2017-12-02,LightGBM,412.0000000000,405.1785999489,14.8944950109,0.0000000000,446.6275245056,432.4973658559,446.6275245056,426.8944950109,420.0730949597,Medium,0: optimal
2017-12-02 07:00:00,2017-12-02,LightGBM,410.0000000000,404.8366575171,15.2364374426,0.0000000000,461.0820782292,446.6275245056,461.0820782292,425.2364374426,420.0730949597,Medium,0: optimal
2017-12-02 08:00:00,2017-12-02,LightGBM,409.0000000000,407.8932123202,12.1798826395,0.0000000000,472.6369294616,461.0820782292,472.6369294616,421.1798826395,420.0730949597,Medium,0: optimal
2017-12-02 09:00:00,2017-12-02,LightGBM,408.0000000000,415.0026789027,5.0704160570,0.0000000000,477.4471484890,472.6369294616,477.4471484890,413.0704160570,420.0730949597,Medium,0: optimal
2017-12-02 10:00:00,2017-12-02,LightGBM,417.0000000000,422.0200760122,0.0000000000,1.9469810525,475.3948502600,477.4471484890,475.3948502600,415.0530189475,420.0730949597,Medium,0: optimal
2017-12-02 11:00:00,2017-12-02,LightGBM,421.0000000000,427.4959306401,0.0000000000,7.4228356804,467.5704944443,475.3948502600,467.5704944443,413.5771643196,420.0730949597,Medium,0: optimal
2017-12-02 12:00:00,2017-12-02,LightGBM,418.0000000000,429.4332728164,0.0000000000,9.3601778567,457.7040006671,467.5704944443,457.7040006671,408.6398221433,420.0730949597,Medium,0: optimal
2017-12-02 13:00:00,2017-12-02,LightGBM,420.0000000000,432.0973892505,0.0000000000,12.0242942908,445.0292815954,457.7040006671,445.0292815954,407.9757057092,420.0730949597,Medium,0: optimal
2017-12-02 14:00:00,2017-12-02,LightGBM,425.0000000000,433.2124638268,0.0000000000,13.1393688671,431.1791707164,445.0292815954,431.1791707164,411.8606311329,420.0730949597,Medium,0: optimal
2017-12-02 15:00:00,2017-12-02,LightGBM,424.0000000000,435.8363249562,0.0000000000,15.7632299965,414.5632673597,431.1791707164,414.5632673597,408.2367700035,420.0730949597,Medium,0: optimal
2017-12-02 16:00:00,2017-12-02,LightGBM,426.0000000000,435.8779185353,0.0000000000,15.8048235755,397.9035205211,414.5632673597,397.9035205211,410.1951764245,420.0730949597,Medium,0: optimal
2017-12-02 17:00:00,2017-12-02,LightGBM,423.0000000000,435.3036692425,0.0000000000,15.2305742827,381.8490855859,397.9035205211,381.8490855859,407.7694257173,420.0730949597,Medium,0: optimal
2017-12-02 18:00:00,2017-12-02,LightGBM,423.0000000000,431.2986410214,0.0000000000,11.2255460617,370.0163210745,381.8490855859,370.0163210745,411.7744539383,420.0730949597,Medium,0: optimal
2017-12-02 19:00:00,2017-12-02,LightGBM,419.0000000000,427.3728609713,0.0000000000,7.2997660115,362.3216920803,370.0163210745,362.3216920803,411.7002339885,420.0730949597,Medium,0: optimal
2017-12-02 20:00:00,2017-12-02,LightGBM,416.0000000000,425.3042242159,0.0000000000,5.2311292561,356.8075976856,362.3216920803,356.8075976856,410.7688707439,420.0730949597,Medium,0: optimal
2017-12-02 21:00:00,2017-12-02,LightGBM,416.0000000000,419.0199789170,1.0531160427,0.0000000000,357.8066712862,356.8075976856,357.8066712862,417.0531160427,420.0730949597,Medium,0: optimal
2017-12-02 22:00:00,2017-12-02,LightGBM,409.0000000000,417.9533383870,2.1197565728,0.0000000000,359.8176489427,357.8066712862,359.8176489427,411.1197565728,420.0730949597,Medium,0: optimal
2017-12-02 23:00:00,2017-12-02,LightGBM,407.0000000000,413.1465465215,6.9265484382,0.0000000000,366.3887497592,359.8176489427,366.3887497592,413.9265484382,420.0730949597,Medium,0: optimal
2017-12-03 00:00:00,2017-12-03,LightGBM,407.0000000000,412.5417680515,0.9522006944,0.0000000000,367.2920866544,366.3887497592,367.2920866544,407.9522006944,413.4939687459,Medium,0: optimal
