row_scope,building,model_a,model_b,mean_daily_peak_difference_a_minus_b,median_daily_peak_difference_a_minus_b,mean_normalized_daily_peak_difference,daily_a_better,daily_equal,daily_a_worse,normalized_MAE_difference_a_minus_b,normalized_regret_difference_a_minus_b,across_building_a_better,across_building_equal,across_building_a_worse,median_normalized_improvement_a_vs_b,mean_normalized_improvement_a_vs_b
building,Robin_office_Addie,DayWeek,CatBoost,1.2331500491309408,1.187645424405952,0.0589208131837463,5,0,25,-0.010074237071056952,0.0589208131837463,,,,,
building,Robin_office_Addie,LightGBM,XGBoost,0.24766039202896628,0.11269778502012073,0.011833395053615749,8,0,22,-0.012722512561642974,0.011833395053615754,,,,,
building,Robin_office_Addie,LightGBM,CatBoost,0.011647669586463572,-0.031094246330555464,0.0005565341899906542,16,0,14,-0.00010997007499036204,0.0005565341899906542,,,,,
building,Robin_office_Addie,XGBoost,CatBoost,-0.2360127224425027,-0.19184432740016444,-0.011276860863625095,20,0,10,0.012612542486652611,-0.0112768608636251,,,,,
across_building,__all__,DayWeek,LightGBM,1.4197034555626642,0.2069482751008218,0.026891885401931707,112,4,124,0.03613948690180249,0.026891885401931694,2.0,0.0,6.0,-0.01579452553851433,-0.026891885401931707
across_building,__all__,DayWeek,XGBoost,0.47223173863203033,0.09046422471362803,0.02548451813395244,119,4,117,0.03369682073008311,0.025484518133952437,3.0,0.0,5.0,-0.0064792057105176005,-0.02548451813395244
across_building,__all__,DayWeek,CatBoost,0.37602452312554163,0.35615099259455274,0.024278261370504456,119,1,120,0.009873139524980921,0.02427826137050445,2.0,0.0,6.0,-0.007814960552199277,-0.024278261370504456
across_building,__all__,LightGBM,XGBoost,-0.9474717169306337,-0.05474884080135212,-0.0014073672679792589,123,3,114,-0.0024426661717193788,-0.0014073672679792593,4.0,0.0,4.0,0.00011756124498029986,0.0014073672679792589
across_building,__all__,LightGBM,CatBoost,-1.0436789324371225,-0.048688630921483345,-0.0026136240314272455,133,1,106,-0.02626634737682157,-0.0026136240314272455,4.0,0.0,4.0,0.00026285062580461914,0.0026136240314272455
across_building,__all__,XGBoost,CatBoost,-0.09620721550648859,-0.0072566214504758975,-0.0012062567634479843,126,3,111,-0.023823681205102195,-0.001206256763447987,4.0,0.0,4.0,0.000596305946087193,0.0012062567634479843
