building,split,date,method,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
Hog_office_Rolando,validation,2017-11-26,DayWeek,True,0,0,0,0,3.808509063674137e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-27,DayWeek,True,0,0,0,0,1.9326762412674725e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-28,DayWeek,True,0,0,0,0,1.3642420526593924e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-29,DayWeek,True,0,0,0,0,2.4442670110147446e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-30,DayWeek,True,0,0,0,0,2.8990143619012088e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-02,LightGBM,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-03,LightGBM,True,0,0,0,0,5.172751116333529e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-04,LightGBM,True,0,0,0,0,2.7853275241795927e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-05,LightGBM,True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-06,LightGBM,True,0,0,0,0,2.6716406864579767e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-07,LightGBM,True,0,0,0,0,2.5011104298755527e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-08,LightGBM,True,0,0,0,0,2.6147972675971687e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-09,LightGBM,True,0,0,0,0,5.229594535194337e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-10,LightGBM,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-11,LightGBM,True,0,0,0,0,9.094947017729282e-13,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-12,LightGBM,True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-13,LightGBM,True,0,0,0,0,3.353761712787673e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-14,LightGBM,True,0,0,0,0,3.808509063674137e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-15,LightGBM,True,0,0,0,0,7.105427357601002e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-16,LightGBM,True,0,0,0,0,2.3305801732931286e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-17,LightGBM,True,0,0,0,0,1.8758328224066645e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-18,LightGBM,True,0,0,0,0,1.9895196601282805e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-19,LightGBM,True,0,0,0,0,3.183231456205249e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-20,LightGBM,True,0,0,0,0,5.6274984672199935e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-21,LightGBM,True,0,0,0,0,7.105427357601002e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-22,LightGBM,True,0,0,0,0,4.888534022029489e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-23,LightGBM,True,0,0,0,0,4.774847184307873e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-24,LightGBM,True,0,0,0,0,3.524291969370097e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-25,LightGBM,True,0,0,0,0,2.5011104298755527e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-26,LightGBM,True,0,0,0,0,2.6716406864579767e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-27,LightGBM,True,0,0,0,0,4.774847184307873e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-28,LightGBM,True,0,0,0,0,4.661160346586257e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-29,LightGBM,True,0,0,0,0,2.3305801732931286e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-30,LightGBM,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-02,XGBoost,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-03,XGBoost,True,0,0,0,0,4.831690603168681e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-04,XGBoost,True,0,0,0,0,5.059064278611913e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-05,XGBoost,True,0,0,0,0,2.8421709430404007e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-06,XGBoost,True,0,0,0,0,2.8421709430404007e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-07,XGBoost,True,0,0,0,0,1.9326762412674725e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-08,XGBoost,True,0,0,0,0,4.547473508864641e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-09,XGBoost,True,0,0,0,0,5.343281372915953e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-10,XGBoost,True,0,0,0,0,3.637978807091713e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-11,XGBoost,True,0,0,0,0,2.7284841053187847e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-12,XGBoost,True,0,0,0,0,2.9558577807620168e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-13,XGBoost,True,0,0,0,0,2.0463630789890885e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-14,XGBoost,True,0,0,0,0,2.5011104298755527e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-15,XGBoost,True,0,0,0,0,1.5916157281026244e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-16,XGBoost,True,0,0,0,0,2.2168933355715126e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-17,XGBoost,True,0,0,0,0,3.808509063674137e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-18,XGBoost,True,0,0,0,0,4.718003765447065e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-19,XGBoost,True,0,0,0,0,3.637978807091713e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-20,XGBoost,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-21,XGBoost,True,0,0,0,0,5.286437954055145e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-22,XGBoost,True,0,0,0,0,3.410605131648481e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-23,XGBoost,True,0,0,0,0,4.320099833421409e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-24,XGBoost,True,0,0,0,0,3.751665644813329e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-25,XGBoost,True,0,0,0,0,4.490630090003833e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-26,XGBoost,True,0,0,0,0,3.0127011996228248e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-27,XGBoost,True,0,0,0,0,2.6716406864579767e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-28,XGBoost,True,0,0,0,0,4.035882739117369e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-29,XGBoost,True,0,0,0,0,6.536993168992922e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-30,XGBoost,True,0,0,0,0,1.5916157281026244e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-02,CatBoost,True,0,0,0,0,1.7621459846850485e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-03,CatBoost,True,0,0,0,0,3.865352482534945e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-04,CatBoost,True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-05,CatBoost,True,0,0,0,0,1.4210854715202004e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-06,CatBoost,True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-07,CatBoost,True,0,0,0,0,5.4569682106375694e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-08,CatBoost,True,0,0,0,0,1.4210854715202004e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-09,CatBoost,True,0,0,0,0,2.1032064978498966e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-10,CatBoost,True,0,0,0,0,2.6716406864579767e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-11,CatBoost,True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-12,CatBoost,True,0,0,0,0,1.2505552149377763e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-13,CatBoost,True,0,0,0,0,3.694822225952521e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-14,CatBoost,True,0,0,0,0,6.59383658785373e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-15,CatBoost,True,0,0,0,0,1.5916157281026244e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-16,CatBoost,True,0,0,0,0,4.604316927725449e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-17,CatBoost,True,0,0,0,0,3.467448550509289e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-18,CatBoost,True,0,0,0,0,3.240074875066057e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-19,CatBoost,True,0,0,0,0,4.149569576838985e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-20,CatBoost,True,0,0,0,0,6.650680006714538e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-21,CatBoost,True,0,0,0,0,4.035882739117369e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-22,CatBoost,True,0,0,0,0,3.524291969370097e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-23,CatBoost,True,0,0,0,0,3.183231456205249e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-24,CatBoost,True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-25,CatBoost,True,0,0,0,0,2.9558577807620168e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-26,CatBoost,True,0,0,0,0,5.4569682106375694e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-27,CatBoost,True,0,0,0,0,3.694822225952521e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-28,CatBoost,True,0,0,0,0,2.8421709430404007e-12,0.0,0.0,0
Hog_office_Rolando,validation,2017-11-29,CatBoost,True,0,0,0,0,3.467448550509289e-12,0.0,0.0,0
