method,average_normalized_MAE,median_normalized_MAE,std_normalized_MAE,forecast_average_rank,forecast_median_rank,forecast_win_count,average_normalized_peak_quartile_MAE,std_normalized_peak_quartile_MAE,peak_average_rank,peak_win_count,average_normalized_mean_regret,median_normalized_mean_regret,std_normalized_mean_regret,decision_average_rank,decision_median_rank,decision_win_count
DayWeek,0.18347751457949069,0.09344927380141273,0.20944933963166049,2.625,3.0,3,0.2636585700909476,0.31840931994018123,3.375,1,0.14301866949576675,0.11259177222957616,0.1177387997550637,3.125,3.5,1
LightGBM,0.14733802767768822,0.08499256136530126,0.141724876043197,2.125,2.0,2,0.217359814952041,0.26759271030848486,1.75,3,0.11612678409383506,0.09638239764608245,0.08977673617184583,2.25,2.5,2
XGBoost,0.1497806938494076,0.0883794846413225,0.14370848152248172,2.25,2.0,2,0.2114395161100171,0.2500177160970432,2.25,2,0.1175341513618143,0.09267941084249057,0.0922958586069947,2.375,2.0,2
CatBoost,0.17360437505450976,0.09232141790564329,0.18548246022421327,3.0,3.0,1,0.23138200942943754,0.2831763031296825,2.625,2,0.1187404081252623,0.09427493611441579,0.08431904986722483,2.25,2.0,3
