experiment,feature_count,best_iteration,validation_mae,validation_rmse,validation_mape,validation_smape,validation_r2,delta_mae_vs_full,delta_rmse_vs_full
full,31,296,7.71049227374679,18.779724333213263,1.7160588143257098,1.7292356255021366,0.5480045682345983,0.0,0.0
without_calendar,18,216,10.29633230827829,20.83251496690943,2.2739437480654408,2.3087490978906833,0.4437897030648573,2.5858400345314996,2.0527906336961657
without_short_term_lag,24,192,7.572076859494132,18.781080618973057,1.6930721949064194,1.697975476627148,0.5479392789796933,-0.13841541425265813,0.0013562857597939626
without_weekly_lag,30,345,7.879992915856982,18.559742087393765,1.7580477748687464,1.7679362003472268,0.5585317315042666,0.1695006421101919,-0.219982245819498
without_long_lag,30,225,7.9528052815712735,18.887216875023306,1.7720810466205656,1.783914932088766,0.5428154411584702,0.2423130078244835,0.10749254181004275
without_rolling,22,163,8.56031549751394,19.03478824402168,1.9196575368235478,1.9273865863384718,0.5356432968674355,0.8498232237671504,0.25506391080841695
core_lag_plus_calendar,16,110,8.195623510448392,18.548845214348216,1.8295891554607806,1.8415162808219834,0.559049972699224,0.4851312367016023,-0.23087911886504742
