split,load_level,sample_count,MAE,RMSE,bias
test,low_<=P25,185,28.26982552952215,31.73993378088603,28.26982552952215
test,normal_P25-P75,357,5.789442498695612,7.558601908672129,3.8825711805534366
test,high_>=P75,178,5.872857991940037,7.364626045627629,-2.0212997049896027
validation,low_<=P25,194,6.305979825624256,10.068091444113318,4.701343645387128
validation,normal_P25-P75,348,6.881942772281403,10.783938370019904,0.8628515554244104
validation,high_>=P75,178,10.560840861189147,32.35977404629167,-6.143477536716217
