configuration,parameter_overrides,best_iteration,validation_mae,validation_rmse,validation_mape,validation_smape,validation_r2,delta_mae_vs_current,delta_rmse_vs_current
phase4_current,{},296,7.71049227374679,18.779724333213263,1.7160588143257098,1.7292356255021366,0.5480045682345983,0.0,0.0
num_leaves_15,"{""num_leaves"": 15}",152,8.08608609766996,18.84429126343875,1.8000507256814815,1.8179833441107942,0.544891197031891,0.3755938239231691,0.06456693022548521
num_leaves_63,"{""num_leaves"": 63}",297,7.643531424244722,18.675653250002185,1.6995514537127825,1.7165822909028252,0.5530003087659602,-0.06696084950206771,-0.10407108321107827
learning_rate_0_02,"{""learning_rate"": 0.02, ""n_estimators"": 1200}",235,8.196441036107426,19.007551473526583,1.8246898096462287,1.8451133522061471,0.5369712368598337,0.48594876236063644,0.22782714031331963
learning_rate_0_05,"{""learning_rate"": 0.05, ""n_estimators"": 600}",189,7.868881700604357,18.762327121588562,1.7557395934166609,1.7670029546625423,0.5488416218306627,0.15838942685756674,-0.01739721162470076
min_child_samples_40,"{""min_child_samples"": 40}",225,7.834102629744718,18.78341152262728,1.7451588249222754,1.7605941217180117,0.5478270622872192,0.12361035599792825,0.0036871894140162453
colsample_1_0,"{""colsample_bytree"": 1.0}",148,8.234664401872186,19.019641575257552,1.8325201347443458,1.856056003966456,0.5363820136519482,0.5241721281253957,0.23991724204428877
reg_lambda_0_5,"{""reg_lambda"": 0.5}",213,7.842739661146527,18.862641839091452,1.7439620873616273,1.7611897917732808,0.5440043953206635,0.13224738739973674,0.08291750587818925
