model,validation_MAE,validation_RMSE,validation_sMAPE,test_MAE,test_RMSE,test_sMAPE,validation_MAPE,test_MAPE,validation_R2,test_R2
Yesterday baseline,11.579166666666667,26.921103865431174,2.5737109116990826,9.86111111111111,15.5433980268866,2.320600182195729,,,,
Last-week baseline,10.21111111111111,25.95187854472196,2.264789976847811,11.993055555555555,18.385947230304875,2.8614254550168874,,,,
Phase 3 LightGBM,7.6812771735654195,18.27708785883606,1.722330459181666,10.570016519435349,15.711327357874778,2.5419875625966832,,,,
Phase 4 LightGBM,7.701758456284872,18.502979607643894,,10.90208123095793,17.421081429536144,,1.7140684229920748,2.7097328290478324,,
Phase 4.5 final LightGBM,7.636258116967641,18.50408204870908,1.7129777213418969,11.586274191057303,17.33749674157886,2.7834572161221285,1.699904692052563,2.869997650567488,0.5585376059015477,0.4862284352162096
