split,day_type,sample_count,MAE,RMSE,bias
test,weekday,480,11.65526516819079,18.227113574254773,7.893476832574011
test,weekend,240,11.448292236790333,15.404903157605622,10.280564197064583
validation,weekday,528,8.147470956930412,12.411337941917713,1.1574014804761636
validation,weekend,192,6.230422807070021,29.332411179389155,-2.5641352850734545
