split,day_of_week,sample_count,MAE,RMSE,bias,day_name
test,0,96,17.356709665742688,26.878126613402635,16.368310997576682,Monday
test,1,96,13.155867099523602,20.75022807346391,10.2056286139254,Tuesday
test,2,96,10.19132209412553,15.482528144988038,6.686139560184583,Wednesday
test,3,96,7.378545579868654,9.54045457861958,2.2823648725681394,Thursday
test,4,96,10.193881401693462,13.319299514989153,3.9249401186152575,Friday
test,5,120,10.847115037407821,14.297813146835583,10.609828538797418,Saturday
test,6,120,12.04946943617285,16.43759781137715,9.95129985533175,Sunday
validation,0,96,11.739936523240642,16.187078734395673,-10.340428446008437,Monday
validation,1,96,4.560138866451745,5.674926356203203,-1.0657478983855768,Tuesday
validation,2,96,6.989211538746979,9.338196443656567,5.098647892718572,Wednesday
validation,3,120,11.230261974905746,17.473601966791357,9.743002745448496,Thursday
validation,4,120,5.987180692836578,8.204414677827112,0.39558652998697663,Friday
validation,5,96,4.044425674126832,5.037414605763821,1.062038753342484,Saturday
validation,6,96,8.416419940013212,41.17529775585291,-6.190309323489394,Sunday
