weight,normalized_MAE,normalized_RMSE,normalized_mean_regret,normalized_p90_regret,building_count,split,normalization_source,endpoint_distance
0.0,0.14270945746145136,0.281466557837999,0.11852814366366607,0.22147133453652038,8,validation,Phase 7 Train mean load,0.0
0.1,0.139073898727617,0.27163106559233663,0.1159690832209315,0.2168058086013776,8,validation,Phase 7 Train mean load,0.1
0.2,0.13644420480830172,0.26314790942954364,0.11348816577487876,0.2119856035975981,8,validation,Phase 7 Train mean load,0.2
0.3,0.13446226987018242,0.2561452959526605,0.11088147902823037,0.20434397213113006,8,validation,Phase 7 Train mean load,0.3
0.4,0.13314706931263112,0.250746035262856,0.10904529154679575,0.20164702236529963,8,validation,Phase 7 Train mean load,0.4
0.5,0.132495872974807,0.24705397413609995,0.10638661589347367,0.18895175160990305,8,validation,Phase 7 Train mean load,0.5
0.6,0.13334276939566106,0.24513602925319689,0.10349807099594142,0.18173781749587858,8,validation,Phase 7 Train mean load,0.4
0.7,0.13623409402039643,0.24501117219902738,0.10111319731998551,0.17676600031036918,8,validation,Phase 7 Train mean load,0.3
0.8,0.14020741297695852,0.2466496670553559,0.10079119537173725,0.16863071717706457,8,validation,Phase 7 Train mean load,0.2
0.9,0.1450022547696374,0.24998054455731625,0.1017635727726406,0.1712140835630722,8,validation,Phase 7 Train mean load,0.1
1.0,0.1506812506812785,0.2549025752688145,0.10456261983568216,0.1749210426925563,8,validation,Phase 7 Train mean load,0.0
