experiment,setting,date,controller,battery_size,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,initial_soc_error,terminal_soc_error,initial_soc_violations,terminal_soc_violations
baseline_reproduction,1.0x,2017-12-20,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-21,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-22,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-23,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-24,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-25,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-26,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-27,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-28,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-29,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-30,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-31,LightGBM,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-02,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-03,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-04,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-05,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-06,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-07,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-08,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-09,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-10,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-11,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-12,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-13,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-14,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-15,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-16,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-17,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-18,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-19,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-20,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-21,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-22,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-23,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-24,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-25,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-26,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-27,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-28,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-29,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-30,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
baseline_reproduction,1.0x,2017-12-31,Oracle,Medium,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-02,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-03,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-04,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-05,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-06,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-07,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-08,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-09,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-10,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-11,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-12,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-13,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-14,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-15,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-16,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-17,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-18,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-19,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-20,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-21,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-22,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-23,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-24,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-25,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-26,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-27,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-28,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
