round_trip_efficiency_setting,multiplier,is_phase5_baseline,controller,capacity_kwh,max_charge_power_kw,max_discharge_power_kw,round_trip_efficiency,mean_realized_peak_kw,max_realized_peak_kw,mean_peak_reduction_kw,mean_peak_reduction_pct,mean_decision_regret_kw,total_charge_energy_kwh,total_discharge_energy_kwh,baseline_max_abs_difference
0.8500000000,0.9444444444,False,Persistence,732.7774995184,183.1943748796,183.1943748796,0.8500000000,435.0046462335,467.0498866213,7.7286870998,1.5945949775,14.4514935959,5462.3019209025,4642.9566327670,0.0000000000
0.8500000000,0.9444444444,False,LightGBM,732.7774995184,183.1943748796,183.1943748796,0.8500000000,431.1031052357,451.8369280000,11.6302280977,2.4593186057,10.5499525980,5056.8502432124,4298.3227067305,0.0000000000
0.8500000000,0.9444444444,False,Oracle,732.7774995184,183.1943748796,183.1943748796,0.8500000000,420.5531526376,442.1247165533,22.1801806957,4.8625401224,0.0000000000,5188.4659938376,4410.1960947619,0.0000000000
0.9000000000,1.0000000000,True,Persistence,732.7774995184,183.1943748796,183.1943748796,0.9000000000,434.6031783647,466.8421052632,8.1301549687,1.6836230395,14.4313944875,5302.8842256901,4772.5958031212,0.0000000000
0.9000000000,1.0000000000,True,LightGBM,732.7774995184,183.1943748796,183.1943748796,0.9000000000,430.7310359956,451.2604385215,12.0022973378,2.5411791720,10.5592521184,4906.3768361780,4415.7391525603,0.0000000000
0.9000000000,1.0000000000,True,Oracle,732.7774995184,183.1943748796,183.1943748796,0.9000000000,420.1717838771,441.4493392070,22.5615494562,4.9458832298,0.0000000000,5036.8439153709,4533.1595238338,0.0000000000
0.9500000000,1.0555555556,False,Persistence,732.7774995184,183.1943748796,183.1943748796,0.9500000000,434.2246262402,466.6452991453,8.5087070931,1.7675671274,14.4124080592,5154.6178588290,4896.8869658877,0.0000000000
0.9500000000,1.0555555556,False,LightGBM,732.7774995184,183.1943748796,183.1943748796,0.9500000000,430.3805643232,450.7194927416,12.3527690101,2.6182952179,10.5683461423,4765.9615907747,4527.6635112361,0.0000000000
0.9500000000,1.0555555556,False,Oracle,732.7774995184,183.1943748796,183.1943748796,0.9500000000,419.8122181810,440.8115631692,22.9211151524,5.0244640015,0.0000000000,4895.9418058564,4651.1447155637,0.0000000000
