model,split,MAE,RMSE,sMAPE
Yesterday baseline,validation,11.579166666666667,26.921103865431174,2.5737109116990826
Last-week baseline,validation,10.21111111111111,25.95187854472196,2.264789976847811
LightGBM,validation,7.6812771735654195,18.27708785883606,1.722330459181666
Yesterday baseline,test,9.86111111111111,15.5433980268866,2.320600182195729
Last-week baseline,test,11.993055555555555,18.385947230304875,2.8614254550168874
LightGBM,test,10.570016519435349,15.711327357874778,2.5419875625966832
