method,building_count,mean_MAE_kw,median_MAE_kw,mean_RMSE_kw,median_RMSE_kw,mean_MAPE_pct,mean_peak_region_MAE_kw,mean_peak_region_RMSE_kw,mean_normalized_MAE,median_normalized_MAE,mean_normalized_RMSE,mean_normalized_peak_region_MAE,mean_normalized_peak_region_RMSE,mean_daily_peak_kw,median_daily_peak_kw,mean_peak_reduction_kw,mean_peak_reduction_pct,mean_regret_kw,median_regret_kw,mean_p90_regret_kw,mean_normalized_daily_peak,median_normalized_daily_peak,mean_normalized_regret,median_normalized_regret,mean_normalized_p90_regret,mean_oracle_capture_ratio,mean_equivalent_full_cycles
Persistence,8,20.942419791666666,7.433076388888889,36.902913328267005,12.708309752632463,21.325103304831586,28.063831102003643,46.27276454811613,0.22588459888645776,0.10343977690271178,0.4301930787029329,0.3611890635536578,0.5651044677205997,373.7084461628875,61.99341345058537,-13.781203280400007,-1.8784522306447489,26.868820910529287,5.939691209577942,62.224657121918824,1.6930018775215658,1.2737729373578628,0.16298609842776174,0.1501103905958921,0.31669668878638324,-0.5117448058835603,10.987120757552258
Day,8,20.942419791666666,7.433076388888889,36.902913328267005,12.708309752632463,21.325103304831586,28.063831102003643,46.27276454811613,0.22588459888645776,0.10343977690271178,0.4301930787029329,0.3611890635536578,0.5651044677205997,373.7084461628875,61.99341345058537,-13.781203280400007,-1.8784522306447489,26.868820910529287,5.939691209577942,62.224657121918824,1.6930018775215658,1.2737729373578628,0.16298609842776174,0.1501103905958921,0.31669668878638324,-0.5117448058835603,10.987120757552258
Week,8,21.618162777777776,8.18765875,33.05694204174543,12.970013908023592,23.523007029129317,28.70847246470855,37.64868367303582,0.2015782033719362,0.11661710136372996,0.32841417897702463,0.25762953027357083,0.37676392553575144,368.57557825474714,60.629674711410374,9.398494442867822,3.085462929586199,21.735953002388896,4.7836988956107085,41.35217745516919,1.6743387819207094,1.2613227546699501,0.14432300282690502,0.13766020790797925,0.2780115673178951,-0.5329479213173073,11.503967779836373
DayWeek,8,17.7515884375,6.662490208333333,27.4065357575262,10.137816571658576,20.03229941616913,25.232304857126593,35.57968065238982,0.18347751457949069,0.09344927380141273,0.2966208944834146,0.2636585700909476,0.39455549625673114,367.059796904683,60.777716615243634,23.530427327006425,4.906897876871062,20.22017165232472,4.824665442372059,38.73759278194396,1.6730344485895712,1.2362543189915471,0.14301866949576675,0.11259177222957616,0.2806513725959704,-0.44679779437730915,12.053789327246275
LightGBM,8,17.84572118651637,10.394892284406328,25.845809671326816,14.497355244633287,30.90449370777486,20.792436186465306,27.04857928836153,0.14733802767768822,0.08499256136530126,0.21694195878414035,0.217359814952041,0.28027003925819294,365.6400934491203,60.23331566220355,25.802465479540608,1.0084324543018917,18.80046819676206,5.522184578699708,33.151035063198535,1.6461425631876392,1.223463461369049,0.11612678409383506,0.09638239764608245,0.2033223995277137,-0.16482723366701485,11.311740231433944
XGBoost,8,17.551009279451765,8.618839268287022,25.08242300733983,12.418980138997775,32.475055058759125,20.892961140678487,26.954261992351324,0.1497806938494076,0.0883794846413225,0.21675118421605072,0.2114395161100171,0.2704369014151996,366.5875651660509,60.60163296197095,21.60827932678005,0.4528337144682357,19.74793991369269,6.722850639818807,38.38283832718951,1.6475499304556185,1.2253909677228076,0.1175341513618143,0.09267941084249057,0.2233796839125855,-0.2650275394084209,11.882824843917067
CatBoost,8,18.177336950538002,10.670279923509163,26.50968597165756,14.29714900843247,33.14072728731474,21.776427371765976,29.371437895916475,0.17360437505450976,0.09232141790564329,0.23921096262177502,0.23138200942943754,0.3009030613490027,366.68377238155745,61.27963534101999,20.531512796951407,-24.48241606779646,19.84414712919918,8.612028061132506,39.69366304363332,1.6487561872190668,1.2198362762915602,0.1187404081252623,0.09427493611441579,0.2129762473623049,-0.6191196221310981,12.252421956616757
Phase8_DOEF,8,15.135158202093477,5.802379016496942,22.80982198030621,8.839677267224173,16.201154015321187,19.931174016732207,26.56182392683954,0.13796953500074935,0.07970413609282831,0.2078222913306698,0.20719639038283855,0.2734585279522096,364.39797333853414,60.042747258644134,26.92698979596764,6.442331666592077,17.55834808617592,4.414815732306685,29.011098293902116,1.641944962981772,1.2177788305457118,0.11192918388796776,0.09411628378374087,0.19893894992962302,-0.0911213182006626,11.15131891980058
PeakAwareLightGBM,8,18.08275007614261,10.394892284406328,26.171275459190138,14.497355244633287,30.935044056649268,20.80353254941021,27.22273432884854,0.14758677056302907,0.08499256136530126,0.21728350912967215,0.21737145969855293,0.28045280106134574,365.71220329458714,60.23331566220355,27.36721179504675,1.1288134828307546,18.872578042228884,5.522184578699708,32.63589085347357,1.646218236710184,1.223463461369049,0.11620245761637987,0.09638239764608245,0.2027817968303139,-0.16844865191710306,11.348966747553725
