building,split,method,MAE,RMSE,MAPE,bias,actual_p75,peak_quartile_MAE,peak_quartile_bias,daily_peak_hour_MAE,daily_peak_hour_exact_rate,daily_top3_overlap,peak_region_threshold,peak_region_MAE,peak_region_RMSE,normalized_MAE,normalized_RMSE,normalized_peak_region_MAE,normalized_peak_region_RMSE,no_battery_peak,post_dispatch_peak,absolute_peak_reduction,peak_reduction_percentage,mean_daily_peak,worst_10pct_daily_peak,mean_regret_vs_oracle,p90_regret,max_regret,oracle_capture_ratio,battery_throughput,equivalent_full_cycles
Hog_office_Rolando,test,Persistence,9.86111111111111,15.5433980268866,2.338321970837698,1.3277777777777777,430.0,11.655737704918034,-6.409836065573771,1.8333333333333333,0.3333333333333333,0.5777777777777777,430.0,11.655737704918034,17.745468135393395,0.03229720710887151,0.05090788853239247,0.038174985599569396,0.05812012998889153,483.0,466.84210526315786,16.157894736842138,3.3453198212923683,434.6031783646792,461.3411713939768,14.431394487544319,27.061024156570305,34.127753303964596,0.0903837222867374,10075.480028811317,6.513021764802917
Hog_office_Rolando,test,Day,9.86111111111111,15.5433980268866,2.338321970837698,1.3277777777777777,430.0,11.655737704918034,-6.409836065573771,1.8333333333333333,0.3333333333333333,0.5777777777777777,430.0,11.655737704918034,17.745468135393395,0.03229720710887151,0.05090788853239247,0.038174985599569396,0.05812012998889153,483.0,466.84210526315786,16.157894736842138,3.3453198212923683,434.6031783646792,461.3411713939768,14.431394487544319,27.061024156570305,34.127753303964596,0.0903837222867374,10075.480028811317,6.513021764802917
Hog_office_Rolando,test,Week,11.993055555555555,18.385947230304875,2.9509366099616368,8.051388888888889,430.0,6.8743169398907105,3.4972677595628414,1.7333333333333334,0.2,0.4888888888888888,430.0,6.8743169398907105,8.9516002782175,0.039279772307761335,0.06021783335559945,0.022514829762896527,0.02931836837490481,483.0,455.7577092511012,27.242290748898824,5.6402258279293624,432.2576108691808,452.6653346848075,12.08582699204589,19.03586586084377,35.24367748279258,0.11942416180164644,11409.11669039293,7.375115141831315
Hog_office_Rolando,test,DayWeek,8.86875,12.52881401232996,2.152466550679129,4.689583333333333,430.0,7.286885245901639,-1.4562841530054644,1.5333333333333334,0.3,0.5777777777777778,430.0,7.286885245901639,9.872756022277155,0.02904701633714071,0.04103449362098895,0.023866077495089445,0.03233534663528556,483.0,454.91008771929813,28.089912280701867,5.815716828302664,431.60041443900246,452.64357997852863,11.428630561867672,18.421994551356327,32.172432697014244,0.204042779795491,10560.169525554553,6.826336190759098
Hog_office_Rolando,test,LightGBM,11.586274191057303,17.33749674157886,2.869997650567488,8.689172620737535,430.0,5.833103431919106,-1.9891210013458753,3.6,0.23333333333333334,0.522222222222222,430.0,5.833103431919106,7.312620214318421,0.03794747802274652,0.05678393810827512,0.01910463714539093,0.023950364914177596,483.0,453.80183920814187,29.19816079185813,6.045167865809136,431.2991558056665,453.0816582496503,11.127371928531794,17.071824054570207,28.59011896170307,0.18091394313343964,8762.38098313647,5.664204374528037
Hog_office_Rolando,test,XGBoost,8.281393475002712,12.012604906833504,2.030180370458914,4.942497634887696,430.0,5.59094655188055,-2.0662900163827698,2.7333333333333334,0.2,0.49999999999999994,430.0,5.59094655188055,6.860037550883449,0.027123300528563127,0.0393438005333795,0.01831152257449526,0.02246806176901032,483.0,452.5104566397645,30.489543360235473,6.31253485719161,431.24087289262604,452.1857783119637,11.069089015491304,15.661769056540473,28.246259154974723,0.1560048769876686,9098.798672346504,5.8816724976967745
Hog_office_Rolando,test,CatBoost,9.412322444040733,13.054341294624018,2.3063980776285145,6.046856204390887,430.0,6.25151521336424,-3.670928923713143,1.7666666666666666,0.26666666666666666,0.5555555555555555,430.0,6.25151521336424,7.746524615239684,0.030827330097532045,0.04275570569195822,0.020475023485212095,0.025371492832127383,483.0,456.16538086501487,26.834619134985132,5.555821767077667,431.6295882143274,453.9681084483904,11.457804337192526,16.26524539354879,27.75915183524569,0.17690636237724336,8789.68346096238,5.681853323442104
Hog_office_Rolando,test,Phase8_DOEF,10.077166713884225,14.985329106400858,2.4930433869355353,7.489295834516276,430.0,5.02316019021856,-1.8292699468437499,2.033333333333333,0.26666666666666666,0.5222222222222221,430.0,5.02316019021856,6.281592132241639,0.03300483452237188,0.04908009577122547,0.016451903155388678,0.020573531702717678,483.0,452.13083909716016,30.869160902839837,6.391130621705971,430.57206096745296,451.9246461149965,10.400277090318191,14.692543944282566,29.664401953964102,0.24246395238008744,9111.666819909591,5.889990763914513
Hog_office_Rolando,test,PeakAwareLightGBM,11.586274191057303,17.33749674157886,2.869997650567488,8.689172620737535,430.0,5.833103431919106,-1.9891210013458753,3.6,0.23333333333333334,0.522222222222222,430.0,5.833103431919106,7.312620214318421,0.03794747802274652,0.05678393810827512,0.01910463714539093,0.023950364914177596,483.0,453.80183920814187,29.19816079185813,6.045167865809136,431.2991558056665,453.0816582496503,11.127371928531794,17.071824054570207,28.59011896170307,0.18091394313343964,8762.38098313647,5.664204374528037
Hog_office_Lavon,test,Persistence,1.5839638888888887,2.5594837559988974,15.441282159944913,-0.016936111111111096,14.5745,1.5053722222222221,-1.1361166666666667,10.266666666666667,0.0,0.24444444444444438,14.5745,1.5053722222222221,2.349851984700313,0.005324193493346093,0.008603218075617544,0.00506002254649994,0.007898580728405375,19.192,20.30439647577093,-1.1123964757709288,-5.796146705767657,15.813140398232502,19.626090827879068,3.7553917404129797,5.936989087985782,8.376498245682434,-0.1687672321081427,1059.0996478206093,0.7026241038575942
