building,method,training_time_seconds,inference_time_seconds,inference_time_ms,test_samples,inference_repeats,model_artifact_available,artifact_size_bytes,q,alpha,final_fit_peak_threshold
Hog_office_Rolando,LightGBM,0.30073579999952926,0.003551750000042375,3.551750000042375,720,20,True,828948,,,
Hog_office_Rolando,XGBoost,0.3335215999995853,0.00241344999994908,2.41344999994908,720,20,True,722426,,,
Hog_office_Rolando,CatBoost,1.2054389000004448,0.0012801500006389688,1.2801500006389688,720,20,True,167852,,,
Hog_office_Rolando,Phase8_DOEF,0.2817025000003923,0.003653149999991001,3.653149999991001,720,20,True,828963,,,
Hog_office_Rolando,PeakAwareLightGBM,0.27726699999948323,0.003652999999758322,3.652999999758322,720,20,True,828948,0.8,0.0,455.0
Hog_office_Lavon,LightGBM,0.1544538999987708,0.0012739499998133397,1.2739499998133397,720,20,True,488111,,,
Hog_office_Lavon,XGBoost,0.3371853000007832,0.00261060000048019,2.61060000048019,720,20,True,867777,,,
Hog_office_Lavon,CatBoost,0.9150515000001178,0.0014788000007683877,1.4788000007683877,720,20,True,323789,,,
Hog_office_Lavon,Phase8_DOEF,0.16887189999943075,0.0013127000001986744,1.3127000001986744,720,20,True,488126,,,
Hog_office_Lavon,PeakAwareLightGBM,0.15433289999964472,0.0011230000009163632,1.1230000009163632,720,20,True,488111,0.8,0.0,509.78840000000014
Hog_office_Joey,LightGBM,0.15357130000120378,0.0014455000000452856,1.4455000000452856,720,20,True,444820,,,
Hog_office_Joey,XGBoost,0.1447602000007464,0.0021522500001083245,2.1522500001083245,720,20,True,255313,,,
Hog_office_Joey,CatBoost,0.8488687999997637,0.001459199999771954,1.459199999771954,720,20,True,291564,,,
Hog_office_Joey,Phase8_DOEF,0.1717740000003687,0.001841749999584863,1.841749999584863,720,20,True,444835,,,
Hog_office_Joey,PeakAwareLightGBM,0.15087680000033288,0.001577700000780169,1.577700000780169,720,20,True,444820,0.8,0.0,1362.9296
Lamb_office_Caitlin,LightGBM,0.08484599999974307,0.0010204999998677522,1.0204999998677522,720,20,True,166115,,,
Lamb_office_Caitlin,XGBoost,0.15969229999973322,0.0016533500001969514,1.6533500001969514,720,20,True,259555,,,
Lamb_office_Caitlin,CatBoost,0.26200129999961064,0.0012413999993441394,1.2413999993441394,720,20,True,54203,,,
Lamb_office_Caitlin,Phase8_DOEF,0.08280290000038804,0.0014341500009322772,1.4341500009322772,720,20,True,166130,,,
Lamb_office_Caitlin,PeakAwareLightGBM,0.0846175000006042,0.0013630499997816514,1.3630499997816514,720,20,True,166115,0.8,0.0,32.85
Robin_office_Addie,LightGBM,0.20400750000044354,0.0019889000004695845,1.9889000004695845,720,20,True,570582,,,
Robin_office_Addie,XGBoost,0.1599421999999322,0.0021554000004471163,2.1554000004471163,720,20,True,441185,,,
Robin_office_Addie,CatBoost,0.7045444999985193,0.0014873500003886875,1.4873500003886875,720,20,True,239316,,,
Robin_office_Addie,Phase8_DOEF,0.20698509999965609,0.0023526499999206862,2.3526499999206862,720,20,True,570597,,,
Robin_office_Addie,PeakAwareLightGBM,0.2030721999999514,0.0023075500002960325,2.3075500002960325,720,20,True,570582,0.8,0.0,26.4
Lamb_office_Gerardo,LightGBM,0.12555460000112362,0.0017034999991665245,1.7034999991665245,720,20,True,336350,,,
Lamb_office_Gerardo,XGBoost,0.15142070000001695,0.0018884500004787697,1.8884500004787697,720,20,True,269243,,,
Lamb_office_Gerardo,CatBoost,0.4492047999992792,0.0012575499995364225,1.2575499995364225,720,20,True,153492,,,
Lamb_office_Gerardo,Phase8_DOEF,0.12014740000086022,0.0017765999991752324,1.7765999991752324,720,20,True,336365,,,
Lamb_office_Gerardo,PeakAwareLightGBM,0.10834710000017367,0.0013421500007098075,1.3421500007098075,720,20,True,336350,0.8,0.0,14.740000000000146
Hog_office_Alexis,LightGBM,0.06543079999937618,0.0012021000002278015,1.2021000002278015,720,20,True,104020,,,
Hog_office_Alexis,XGBoost,0.18713609999940672,0.0018067000000883127,1.8067000000883127,720,20,True,406074,,,
Hog_office_Alexis,CatBoost,0.24176249999982247,0.001180999999633059,1.180999999633059,720,20,True,79988,,,
Hog_office_Alexis,Phase8_DOEF,0.07129399999939778,0.0011841000005006208,1.1841000005006208,720,20,True,104035,,,
Hog_office_Alexis,PeakAwareLightGBM,0.065227800001594,0.0011469999990367796,1.1469999990367796,720,20,True,104020,0.8,0.0,29.910600000000002
Hog_office_Byron,LightGBM,0.3850401999989117,0.005047700000432087,5.047700000432087,720,20,True,1150455,,,
Hog_office_Byron,XGBoost,0.8053951000001689,0.0026260499998898013,2.6260499998898013,720,20,True,2072178,,,
Hog_office_Byron,CatBoost,1.6488793999997142,0.001572150000356487,1.572150000356487,720,20,True,562741,,,
Hog_office_Byron,Phase8_DOEF,0.39623719999872264,0.0051676499997483916,5.167649999748392,720,20,True,1150470,,,
Hog_office_Byron,PeakAwareLightGBM,0.4148086000004696,0.004792450000422832,4.792450000422832,720,20,True,1157049,0.8,2.0,1184.5438000000001
