building,split,method,MAE,RMSE,MAPE,bias,actual_p75,peak_quartile_MAE,peak_quartile_bias,daily_peak_hour_MAE,daily_peak_hour_exact_rate,daily_top3_overlap,peak_region_threshold,peak_region_MAE,peak_region_RMSE,normalized_MAE,normalized_RMSE,normalized_peak_region_MAE,normalized_peak_region_RMSE
Hog_office_Rolando,test,Persistence,9.86111111111111,15.5433980268866,2.338321970837698,1.3277777777777777,430.0,11.655737704918034,-6.409836065573771,1.8333333333333333,0.3333333333333333,0.5777777777777777,430.0,11.655737704918034,17.745468135393395,0.03229720710887151,0.05090788853239247,0.038174985599569396,0.05812012998889153
Hog_office_Rolando,test,Day,9.86111111111111,15.5433980268866,2.338321970837698,1.3277777777777777,430.0,11.655737704918034,-6.409836065573771,1.8333333333333333,0.3333333333333333,0.5777777777777777,430.0,11.655737704918034,17.745468135393395,0.03229720710887151,0.05090788853239247,0.038174985599569396,0.05812012998889153
Hog_office_Rolando,test,Week,11.993055555555555,18.385947230304875,2.9509366099616368,8.051388888888889,430.0,6.8743169398907105,3.4972677595628414,1.7333333333333334,0.2,0.4888888888888888,430.0,6.8743169398907105,8.9516002782175,0.039279772307761335,0.06021783335559945,0.022514829762896527,0.02931836837490481
Hog_office_Rolando,test,DayWeek,8.86875,12.52881401232996,2.152466550679129,4.689583333333333,430.0,7.286885245901639,-1.4562841530054644,1.5333333333333334,0.3,0.5777777777777778,430.0,7.286885245901639,9.872756022277155,0.02904701633714071,0.04103449362098895,0.023866077495089445,0.03233534663528556
Hog_office_Rolando,test,LightGBM,11.586274191057303,17.33749674157886,2.869997650567488,8.689172620737535,430.0,5.833103431919106,-1.9891210013458753,3.6,0.23333333333333334,0.522222222222222,430.0,5.833103431919106,7.312620214318421,0.03794747802274652,0.05678393810827512,0.01910463714539093,0.023950364914177596
Hog_office_Rolando,test,XGBoost,8.281393475002712,12.012604906833504,2.030180370458914,4.942497634887696,430.0,5.59094655188055,-2.0662900163827698,2.7333333333333334,0.2,0.49999999999999994,430.0,5.59094655188055,6.860037550883449,0.027123300528563127,0.0393438005333795,0.01831152257449526,0.02246806176901032
Hog_office_Rolando,test,CatBoost,9.412322444040733,13.054341294624018,2.3063980776285145,6.046856204390887,430.0,6.25151521336424,-3.670928923713143,1.7666666666666666,0.26666666666666666,0.5555555555555555,430.0,6.25151521336424,7.746524615239684,0.030827330097532045,0.04275570569195822,0.020475023485212095,0.025371492832127383
Hog_office_Rolando,test,Phase8_DOEF,10.077166713884225,14.985329106400858,2.4930433869355353,7.489295834516276,430.0,5.02316019021856,-1.8292699468437499,2.033333333333333,0.26666666666666666,0.5222222222222221,430.0,5.02316019021856,6.281592132241639,0.03300483452237188,0.04908009577122547,0.016451903155388678,0.020573531702717678
Hog_office_Rolando,test,PeakAwareLightGBM,11.586274191057303,17.33749674157886,2.869997650567488,8.689172620737535,430.0,5.833103431919106,-1.9891210013458753,3.6,0.23333333333333334,0.522222222222222,430.0,5.833103431919106,7.312620214318421,0.03794747802274652,0.05678393810827512,0.01910463714539093,0.023950364914177596
Hog_office_Lavon,test,Persistence,1.5839638888888887,2.5594837559988974,15.441282159944913,-0.016936111111111096,14.5745,1.5053722222222221,-1.1361166666666667,10.266666666666667,0.0,0.24444444444444438,14.5745,1.5053722222222221,2.349851984700313,0.005324193493346093,0.008603218075617544,0.00506002254649994,0.007898580728405375
