building,split,method,no_battery_peak,post_dispatch_peak,absolute_peak_reduction,peak_reduction_percentage,mean_daily_peak,worst_10pct_daily_peak,mean_regret_vs_oracle,p90_regret,max_regret,oracle_capture_ratio,battery_throughput,equivalent_full_cycles
Hog_office_Rolando,test,Oracle,483.0,441.44933920704847,41.55066079295153,8.602621282184582,420.17178387713477,441.0067768638,0.0,0.0,0.0,1.0,9570.003439204675,6.186270084456941
Hog_office_Rolando,test,Persistence,483.0,466.84210526315786,16.157894736842138,3.3453198212923683,434.6031783646792,461.3411713939768,14.431394487544319,27.061024156570305,34.127753303964596,0.0903837222867374,10075.480028811317,6.513021764802917
Hog_office_Rolando,test,Day,483.0,466.84210526315786,16.157894736842138,3.3453198212923683,434.6031783646792,461.3411713939768,14.431394487544319,27.061024156570305,34.127753303964596,0.0903837222867374,10075.480028811317,6.513021764802917
Hog_office_Rolando,test,Week,483.0,455.7577092511012,27.242290748898824,5.6402258279293624,432.2576108691808,452.6653346848075,12.08582699204589,19.03586586084377,35.24367748279258,0.11942416180164644,11409.11669039293,7.375115141831315
Hog_office_Rolando,test,DayWeek,483.0,454.91008771929813,28.089912280701867,5.815716828302664,431.60041443900246,452.64357997852863,11.428630561867672,18.421994551356327,32.172432697014244,0.204042779795491,10560.169525554553,6.826336190759098
Hog_office_Rolando,test,LightGBM,483.0,453.80183920814187,29.19816079185813,6.045167865809136,431.2991558056665,453.0816582496503,11.127371928531794,17.071824054570207,28.59011896170307,0.18091394313343964,8762.38098313647,5.664204374528037
Hog_office_Rolando,test,XGBoost,483.0,452.5104566397645,30.489543360235473,6.31253485719161,431.24087289262604,452.1857783119637,11.069089015491304,15.661769056540473,28.246259154974723,0.1560048769876686,9098.798672346504,5.8816724976967745
Hog_office_Rolando,test,CatBoost,483.0,456.16538086501487,26.834619134985132,5.555821767077667,431.6295882143274,453.9681084483904,11.457804337192526,16.26524539354879,27.75915183524569,0.17690636237724336,8789.68346096238,5.681853323442104
Hog_office_Rolando,test,Phase8_DOEF,483.0,452.13083909716016,30.869160902839837,6.391130621705971,430.57206096745296,451.9246461149965,10.400277090318191,14.692543944282566,29.664401953964102,0.24246395238008744,9111.666819909591,5.889990763914513
Hog_office_Rolando,test,PeakAwareLightGBM,483.0,453.80183920814187,29.19816079185813,6.045167865809136,431.2991558056665,453.0816582496503,11.127371928531794,17.071824054570207,28.59011896170307,0.18091394313343964,8762.38098313647,5.664204374528037
Hog_office_Lavon,test,Oracle,19.192,15.01853913043478,4.17346086956522,21.745836127371927,12.057748657819523,14.896656861956977,0.0,0.0,0.0,1.0,1062.366638971052,0.7047914794526234
Hog_office_Lavon,test,Persistence,19.192,20.30439647577093,-1.1123964757709288,-5.796146705767657,15.813140398232502,19.626090827879068,3.7553917404129797,5.936989087985782,8.376498245682434,-0.1687672321081427,1059.0996478206093,0.7026241038575942
Hog_office_Lavon,test,Day,19.192,20.30439647577093,-1.1123964757709288,-5.796146705767657,15.813140398232502,19.626090827879068,3.7553917404129797,5.936989087985782,8.376498245682434,-0.1687672321081427,1059.0996478206093,0.7026241038575942
Hog_office_Lavon,test,Week,19.192,19.980952789699572,-0.7889527896995716,-4.110841963836868,15.988583998318967,19.72515656597071,3.930835340499443,5.607145635319015,10.182714569031274,-0.24264363578964435,1056.9980970034458,0.7012299005239808
Hog_office_Lavon,test,DayWeek,19.192,18.90800652173914,0.28399347826086085,1.4797492614675951,15.65111823437829,18.568389119559985,3.5933695765587657,6.163925364511197,7.482843961352653,-0.12636612378092166,923.1554462949765,0.6124364874532854
Hog_office_Lavon,test,LightGBM,19.192,27.097590099287032,-7.905590099287032,-41.192111813709005,17.622390689980172,23.803711741403415,5.564642032160647,8.391884029795499,12.869603257181765,-0.7475760055449054,1901.9490667978741,1.2617842536267174
Hog_office_Lavon,test,XGBoost,19.192,27.704976028577413,-8.512976028577413,-44.35689885669765,19.276008435516662,24.83923585537606,7.218259777697136,12.057181220599555,13.476989186472146,-1.3124059933759016,2991.2915001857573,1.9844719182182726
Hog_office_Lavon,test,CatBoost,19.192,66.39344052834815,-47.20144052834815,-245.94331246534048,27.470277534319496,62.31994671799734,15.412528876499977,45.1619239647501,52.01869380345732,-4.092098715306614,6202.382635756854,4.114762525129951
Hog_office_Lavon,test,Phase8_DOEF,19.192,18.90800652173914,0.28399347826086085,1.4797492614675951,15.65111823437829,18.568389119559985,3.5933695765587657,6.163925364511197,7.482843961352653,-0.12636612378092166,923.1554462949765,0.6124364874532854
Hog_office_Lavon,test,PeakAwareLightGBM,19.192,27.097590099287032,-7.905590099287032,-41.192111813709005,17.622390689980172,23.803711741403415,5.564642032160647,8.391884029795499,12.869603257181765,-0.7475760055449054,1901.9490667978741,1.2617842536267174
Hog_office_Joey,test,Oracle,1509.981,1338.730369565217,171.25063043478303,11.341244057692316,1249.3719076026066,1337.4041127448388,0.0,0.0,0.0,1.0,50268.75271416717,8.332220665389357
Hog_office_Joey,test,Persistence,1509.981,1684.6688156321675,-174.68781563216749,-11.568875080690914,1353.9330448046846,1596.8312519458923,104.56113720207792,245.5094409264566,368.6618093473626,0.06937955858544347,52122.628109186946,8.639506962411147
Hog_office_Joey,test,Day,1509.981,1684.6688156321675,-174.68781563216749,-11.568875080690914,1353.9330448046846,1596.8312519458923,104.56113720207792,245.5094409264566,368.6618093473626,0.06937955858544347,52122.628109186946,8.639506962411147
Hog_office_Joey,test,Week,1509.981,1668.6728156321676,-158.69181563216762,-10.509524002763452,1348.473454353323,1579.9359874226166,99.10154675071621,197.12450509193008,343.94952177251844,0.06460750877165905,56659.70306905483,9.391542923119939
Hog_office_Joey,test,DayWeek,1509.981,1511.959291605847,-1.9782916058470619,-0.13101433765372292,1333.2124182135651,1503.717461938136,83.84051061095774,166.4972604157916,195.95228532104215,0.2420254527558246,51902.09139464302,8.602952234649182
Hog_office_Joey,test,LightGBM,1509.981,1518.8915827260519,-8.91058272605187,-0.5901122415481964,1334.8763451896439,1498.1988451117313,85.5044375870371,161.70405824035137,197.62818625028103,0.22738571212033715,51666.9126459528,8.56397053878259
Hog_office_Joey,test,XGBoost,1509.981,1528.625261742676,-18.644261742676008,-1.2347348571058847,1340.1482295784263,1515.9292434404495,90.77632197581929,184.8897682504027,212.6182554578711,0.1705360190507176,52455.439501721776,8.694671608693977
Hog_office_Joey,test,CatBoost,1509.981,1504.8690217728508,5.111978227149166,0.3385458642955882,1330.5201745781899,1493.362852320139,81.14826697558273,166.20502910125765,184.0728825991937,0.2589334578685608,52247.96568070744,8.660282100985023
Hog_office_Joey,test,Phase8_DOEF,1509.981,1525.3382390611764,-15.357239061176415,-1.0170484967146218,1329.8076170362988,1497.4220494569756,80.4357094336918,138.01626644035002,209.3312327763715,0.2842006290248963,51114.34155733375,8.472379958251008
Hog_office_Joey,test,PeakAwareLightGBM,1509.981,1518.8915827260519,-8.91058272605187,-0.5901122415481964,1334.8763451896439,1498.1988451117313,85.5044375870371,161.70405824035137,197.62818625028103,0.22738571212033715,51666.9126459528,8.56397053878259
Lamb_office_Caitlin,test,Oracle,166.95,154.05341886432925,12.896581135670743,7.724816493363729,89.32274136264799,147.45341886432925,0.0,0.0,0.0,1.0,1636.279065606598,15.024903678712207
Lamb_office_Caitlin,test,Persistence,166.95,163.67934782608697,3.270652173913021,1.9590609008164248,96.68482546801374,157.17758889680542,7.362084105365767,13.289522141046394,13.568323046777955,-1.0066559841267448,1676.3513188197376,15.392861539551294
Lamb_office_Caitlin,test,Day,166.95,163.67934782608697,3.270652173913021,1.9590609008164248,96.68482546801374,157.17758889680542,7.362084105365767,13.289522141046394,13.568323046777955,-1.0066559841267448,1676.3513188197376,15.392861539551294
Lamb_office_Caitlin,test,Week,166.95,155.7164553998058,11.233544600194193,6.728687990532611,94.350579325841,151.35662475471167,5.027837963193002,8.181923022103652,12.89658113567073,0.10672925768620203,1705.900625794156,15.664193918236192
