timestamp,date,controller,actual_load,forecast_load,charge,discharge,soc,soc_start,soc_end,realized_grid_load,optimized_forecast_grid_load,battery_size,solver_status
2017-12-02 00:00:00,2017-12-02,LightGBM,418.0000000000,414.5396148353,6.0461410624,0.0000000000,372.1246228027,366.3887497592,372.1246228027,424.0461410624,420.5857558977,Medium,0: optimal
2017-12-02 01:00:00,2017-12-02,LightGBM,414.0000000000,414.1543829276,6.4313729700,0.0000000000,378.2259589229,372.1246228027,378.2259589229,420.4313729700,420.5857558977,Medium,0: optimal
2017-12-02 02:00:00,2017-12-02,LightGBM,412.0000000000,415.6692247488,4.9165311488,0.0000000000,382.8901899081,378.2259589229,382.8901899081,416.9165311488,420.5857558977,Medium,0: optimal
2017-12-02 03:00:00,2017-12-02,LightGBM,411.0000000000,409.8783026422,10.7074532555,0.0000000000,393.0481719763,382.8901899081,393.0481719763,421.7074532555,420.5857558977,Medium,0: optimal
2017-12-02 04:00:00,2017-12-02,LightGBM,411.0000000000,409.8924440933,10.6933118043,0.0000000000,403.1927382859,393.0481719763,403.1927382859,421.6933118043,420.5857558977,Medium,0: optimal
2017-12-02 05:00:00,2017-12-02,LightGBM,409.0000000000,409.6717491270,10.9140067707,0.0000000000,413.5466742240,403.1927382859,413.5466742240,419.9140067707,420.5857558977,Medium,0: optimal
2017-12-02 06:00:00,2017-12-02,LightGBM,412.0000000000,410.0001640435,10.5855918542,0.0000000000,423.5890484160,413.5466742240,423.5890484160,422.5855918542,420.5857558977,Medium,0: optimal
2017-12-02 07:00:00,2017-12-02,LightGBM,410.0000000000,408.7837836710,11.8019722267,0.0000000000,434.7853823516,423.5890484160,434.7853823516,421.8019722267,420.5857558977,Medium,0: optimal
2017-12-02 08:00:00,2017-12-02,LightGBM,409.0000000000,410.7468041461,9.8389517516,0.0000000000,444.1194315487,434.7853823516,444.1194315487,418.8389517516,420.5857558977,Medium,0: optimal
2017-12-02 09:00:00,2017-12-02,LightGBM,408.0000000000,415.7648466231,4.8209092745,0.0000000000,448.6929476588,444.1194315487,448.6929476588,412.8209092745,420.5857558977,Medium,0: optimal
2017-12-02 10:00:00,2017-12-02,LightGBM,417.0000000000,419.8628284494,0.7229274482,0.0000000000,449.3787768546,448.6929476588,449.3787768546,417.7229274482,420.5857558977,Medium,0: optimal
2017-12-02 11:00:00,2017-12-02,LightGBM,421.0000000000,425.9390253980,0.0000000000,5.3532695003,443.7359353381,449.3787768546,443.7359353381,415.6467304997,420.5857558977,Medium,0: optimal
2017-12-02 12:00:00,2017-12-02,LightGBM,418.0000000000,427.6438763713,0.0000000000,7.0581204736,436.2960231059,443.7359353381,436.2960231059,410.9418795264,420.5857558977,Medium,0: optimal
2017-12-02 13:00:00,2017-12-02,LightGBM,420.0000000000,429.7397174993,0.0000000000,9.1539616017,426.6469003476,436.2960231059,426.6469003476,410.8460383983,420.5857558977,Medium,0: optimal
2017-12-02 14:00:00,2017-12-02,LightGBM,425.0000000000,432.4875411924,0.0000000000,11.9017852947,414.1013170964,426.6469003476,414.1013170964,413.0982147053,420.5857558977,Medium,0: optimal
2017-12-02 15:00:00,2017-12-02,LightGBM,424.0000000000,432.2658400087,0.0000000000,11.6800841111,401.7894274119,414.1013170964,401.7894274119,412.3199158889,420.5857558977,Medium,0: optimal
2017-12-02 16:00:00,2017-12-02,LightGBM,426.0000000000,433.5523570246,0.0000000000,12.9666011270,388.1214297212,401.7894274119,388.1214297212,413.0333988730,420.5857558977,Medium,0: optimal
2017-12-02 17:00:00,2017-12-02,LightGBM,423.0000000000,432.7967535860,0.0000000000,12.2109976883,375.2499079885,388.1214297212,375.2499079885,410.7890023117,420.5857558977,Medium,0: optimal
2017-12-02 18:00:00,2017-12-02,LightGBM,423.0000000000,428.7120635765,0.0000000000,8.1263076789,366.6840275776,375.2499079885,366.6840275776,414.8736923211,420.5857558977,Medium,0: optimal
2017-12-02 19:00:00,2017-12-02,LightGBM,419.0000000000,425.0084352082,0.0000000000,4.4226793105,362.0221142504,366.6840275776,362.0221142504,414.5773206895,420.5857558977,Medium,0: optimal
2017-12-02 20:00:00,2017-12-02,LightGBM,416.0000000000,424.9529936596,0.0000000000,4.3672377619,357.4186414467,362.0221142504,357.4186414467,411.6327622381,420.5857558977,Medium,0: optimal
2017-12-02 21:00:00,2017-12-02,LightGBM,416.0000000000,419.9689256669,0.6168302307,0.0000000000,358.0038179843,357.4186414467,358.0038179843,416.6168302307,420.5857558977,Medium,0: optimal
2017-12-02 22:00:00,2017-12-02,LightGBM,409.0000000000,418.1298000892,2.4559558085,0.0000000000,360.3337422406,358.0038179843,360.3337422406,411.4559558085,420.5857558977,Medium,0: optimal
2017-12-02 23:00:00,2017-12-02,LightGBM,407.0000000000,414.2032175615,6.3825383361,0.0000000000,366.3887497592,360.3337422406,366.3887497592,413.3825383361,420.5857558977,Medium,0: optimal
2017-12-03 00:00:00,2017-12-03,LightGBM,407.0000000000,416.8239869434,0.0000000000,1.2281680748,365.0941469372,366.3887497592,365.0941469372,405.7718319252,415.5958188686,Medium,0: optimal
2017-12-03 01:00:00,2017-12-03,LightGBM,408.0000000000,415.6359648179,0.0000000000,0.0401459493,365.0518293910,365.0941469372,365.0518293910,407.9598540507,415.5958188686,Medium,0: optimal
2017-12-03 02:00:00,2017-12-03,LightGBM,411.0000000000,417.6152095104,0.0000000000,2.0193906418,362.9232047530,365.0518293910,362.9232047530,408.9806093582,415.5958188686,Medium,0: optimal
2017-12-03 03:00:00,2017-12-03,LightGBM,410.0000000000,411.1107535937,4.4850652749,0.0000000000,367.1781112700,362.9232047530,367.1781112700,414.4850652749,415.5958188686,Medium,0: optimal
