date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-03,LightGBM,Medium,432.0000000000,425.3015738768,6.6984261232,1.5505616026,55.6679371995,50.1011434796,105.7690806791,366.3887497592,0.0000000000,366.3887497592,0.0000000000,415.5958188686,0: optimal
2017-12-04,LightGBM,Medium,465.0000000000,445.0430826662,19.9569173338,4.2918101793,267.6249596685,240.8624637017,508.4874233702,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.7980161072,0: optimal
2017-12-05,LightGBM,Medium,471.0000000000,451.9984577965,19.0015422035,4.0342977077,250.4676437513,225.4208793762,475.8885231275,366.3887497592,0.0000000000,366.3887497592,0.0000000000,442.0353232337,0: optimal
2017-12-06,LightGBM,Medium,475.0000000000,452.5348902399,22.4651097601,4.7294967916,244.2167078225,219.7950370403,464.0117448628,366.3887497592,0.0000000000,366.3887497592,0.0000000000,441.5136010470,0: optimal
2017-12-07,LightGBM,Medium,483.0000000000,450.9629696558,32.0370303442,6.6329255371,241.3205001427,217.1884501285,458.5089502712,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.1560883192,0: optimal
2017-12-08,LightGBM,Medium,483.0000000000,452.9082453009,30.0917546991,6.2301769563,265.0580349609,238.5522314648,503.6102664258,366.3887497592,0.0000000000,366.3887497592,0.0000000000,435.2016895267,0: optimal
2017-12-09,LightGBM,Medium,432.0000000000,422.4894676472,9.5105323528,2.2015121187,72.7328792877,65.4595913590,138.1924706467,366.3887497592,0.0000000000,366.3887497592,0.0000000000,420.3635324159,0: optimal
2017-12-10,LightGBM,Medium,429.0000000000,423.2759457204,5.7240542796,1.3342783869,53.9532111973,48.5578900776,102.5111012749,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.5323978959,0: optimal
2017-12-11,LightGBM,Medium,469.0000000000,443.6954082187,25.3045917813,5.3954353478,270.2524263573,243.2271837216,513.4796100788,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.8234025075,0: optimal
2017-12-12,LightGBM,Medium,468.0000000000,441.3275948663,26.6724051337,5.6992318662,257.1376361068,231.4238724961,488.5615086029,366.3887497592,0.0000000000,366.3887497592,0.0000000000,439.7044465803,0: optimal
2017-12-13,LightGBM,Medium,477.0000000000,453.8018392081,23.1981607919,4.8633460780,218.7709225529,196.8938302976,415.6647528505,366.3887497592,0.0000000000,366.3887497592,0.0000000000,435.0157979470,0: optimal
2017-12-14,LightGBM,Medium,471.0000000000,447.2633634602,23.7366365398,5.0396255923,243.7819610084,219.4037649076,463.1857259160,366.3887497592,0.0000000000,366.3887497592,0.0000000000,433.6047231978,0: optimal
2017-12-15,LightGBM,Medium,476.0000000000,448.8878085679,27.1121914321,5.6958385362,231.9589174557,208.7630257101,440.7219431658,366.3887497592,0.0000000000,366.3887497592,0.0000000000,431.0045049466,0: optimal
2017-12-16,LightGBM,Medium,425.0000000000,417.8966056347,7.1033943653,1.6713869095,72.9966507750,65.6969856975,138.6936364725,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.7584294971,0: optimal
