timestamp,date,controller,actual_load,forecast_load,charge,discharge,soc,soc_start,soc_end,realized_grid_load,optimized_forecast_grid_load,battery_size,solver_status
2017-12-02 00:00:00,2017-12-02,Oracle,418.0000000000,418.0000000000,0.0000000000,1.9823788546,364.2991389705,366.3887497592,364.2991389705,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 01:00:00,2017-12-02,Oracle,414.0000000000,414.0000000000,2.0176211454,0.0000000000,366.2132224530,364.2991389705,366.2132224530,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 02:00:00,2017-12-02,Oracle,412.0000000000,412.0000000000,4.0176211454,0.0000000000,370.0246725315,366.2132224530,370.0246725315,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 03:00:00,2017-12-02,Oracle,411.0000000000,411.0000000000,5.0176211454,0.0000000000,374.7848059080,370.0246725315,374.7848059080,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 04:00:00,2017-12-02,Oracle,411.0000000000,411.0000000000,5.0176211454,0.0000000000,379.5449392846,374.7848059080,379.5449392846,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 05:00:00,2017-12-02,Oracle,409.0000000000,409.0000000000,7.0176211454,0.0000000000,386.2024392573,379.5449392846,386.2024392573,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 06:00:00,2017-12-02,Oracle,412.0000000000,412.0000000000,4.0176211454,0.0000000000,390.0138893358,386.2024392573,390.0138893358,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 07:00:00,2017-12-02,Oracle,410.0000000000,410.0000000000,6.0176211454,0.0000000000,395.7227060104,390.0138893358,395.7227060104,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 08:00:00,2017-12-02,Oracle,409.0000000000,409.0000000000,7.0176211454,0.0000000000,402.3802059830,395.7227060104,402.3802059830,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 09:00:00,2017-12-02,Oracle,408.0000000000,408.0000000000,8.0176211454,0.0000000000,409.9863892538,402.3802059830,409.9863892538,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 10:00:00,2017-12-02,Oracle,417.0000000000,417.0000000000,0.0000000000,0.9823788546,408.9508710185,409.9863892538,408.9508710185,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 11:00:00,2017-12-02,Oracle,421.0000000000,421.0000000000,0.0000000000,4.9823788546,403.6989825697,408.9508710185,403.6989825697,416.0176211454,416.0176211454,Medium,0: optimal
2017-12-02 12:00:00,2017-12-02,Oracle,418.0000000000,418.0000000000,0.0000000000,1.9823788546,401.6093717810,403.6989825697,401.6093717810,416.0176211454,416.0176211454,Medium,0: optimal
