feature,importance
current_load,4056998144.4291687
lag_1,1584506439.2967834
lag_2,99504795.25726318
day_of_year,33049210.845794678
rolling_max_24,22159355.214904785
day_of_week,14824849.650375366
lag_72,10032352.111114502
dow_cos,8323322.474395752
week_of_year,7554830.529006958
lag_168,3565833.425628662
lag_48,3394245.9311065674
hour,2332066.7469787598
rolling_mean_48,2288164.003097534
lag_336,2176654.179901123
rolling_min_24,2081550.4169464111
rolling_std_24,1958866.653640747
dow_sin,1957792.696258545
day_of_month,1793875.9006500244
rolling_mean_24,1691131.8777313232
rolling_mean_168,1653514.125213623
rolling_std_168,1224832.6794586182
hour_cos,1149956.2519378662
lag_24,951018.3660430908
rolling_mean_3,681700.335357666
month,629829.1248168945
month_cos,515815.3913421631
rolling_mean_6,349584.134185791
month_sin,266838.26777648926
lag_3,256836.30375671387
hour_sin,219480.95484924316
is_weekend,62018.958923339844
