model,validation_MAE,validation_RMSE,validation_MAPE,test_MAE,test_RMSE,test_MAPE
Yesterday baseline,11.579166666666667,26.921103865431174,2.59565073947999,9.86111111111111,15.5433980268866,2.338321970837698
Last-week baseline,10.21111111111111,25.95187854472196,2.2874242187034812,11.993055555555555,18.385947230304875,2.9509366099616368
Phase 4 LightGBM,7.701758456284872,18.502979607643894,1.7140684229920748,10.90208123095793,17.421081429536144,2.7097328290478324
