feature_set,n_features,MAE,RMSE,MAPE
C: Calendar + lag + rolling,31,7.701758456284872,18.502979607643894,1.7140684229920748
B: Calendar + lag,22,8.405878729360715,18.762331816823735,1.8808731699054122
A: Calendar only,13,13.596610534004558,21.530372656303314,3.045199970407052
